School Expenditure/Student,Teacher-Student Ratio,Test Score Percentile,Mean Parent Income,HS Dropout Rate,Teenage Birth Rates
5.941,17,-10.217,,0.073,
5.941,17,-10.217,54500,0.073,0.22
5.941,17,-10.217,,0.073,
5.199,15.8,4.11,59300,0.034,0.189
5.199,15.8,4.11,72000,0.034,0.155
5.167,15.7,1.551,,0.017,
5.167,15.7,1.551,56100,0.017,0.154
5.167,15.7,1.551,173500,0.017,0.183
5.167,15.7,1.551,57700,0.017,0.133
6.563,18.2,,63600,,0.146
6.563,18.4,-14.799,84300,0.018,0.114
6.563,18.3,,,,
6.563,18.3,,71400,,0.131
6.563,18,,63800,,0.133
5.057,19.5,-0.77,101500,0.035,0.116
5.057,19.5,-0.77,,0.035,
5.057,19.5,-0.77,65300,0.035,0.203
5.057,19.5,-0.77,59700,0.035,0.175
5.057,19.5,-0.77,57500,0.035,0.131
5.057,19.5,-0.77,47800,0.035,0.249
7.824,16.5,10.852,,0,
7.824,16.5,10.852,73200,0,0.128
4.484,19.7,3.003,74300,-0.003,0.14
4.484,19.7,3.003,66000,-0.003,0.158
4.484,19.7,3.003,87800,-0.003,0.13
4.484,19.7,3.003,,-0.003,
4.484,19.7,3.003,,-0.003,
4.484,19.7,3.003,54000,-0.003,0.165
4.484,19.7,3.003,64300,-0.003,0.131
4.484,19.7,3.003,76000,-0.003,0.102
4.484,19.7,3.003,65500,-0.003,0.148
4.584,18.2,5.784,61100,-0.02,0.11
4.584,18.2,5.784,71300,-0.02,0.13
5.843,20.9,6.227,54700,0.022,0.168
5.843,20.9,6.227,61800,0.022,0.136
5.843,20.9,6.227,71800,0.022,0.143
5.843,20.9,6.227,48700,0.022,0.179
5.843,20.9,6.227,62800,0.022,0.12
5.843,20.9,6.227,52100,0.022,0.148
5.843,20.9,6.227,82000,0.022,0.114
5.491,18.6,1.241,122400,0.011,0.085
5.491,18.6,1.241,,0.011,
5.491,18.6,1.241,57300,0.011,0.189
5.491,18.6,1.241,62000,0.011,0.194
5.491,18.6,1.241,,0.011,
5.491,18.6,1.241,67500,0.011,0.178
4.668,19.5,4.734,52100,0.031,0.143
4.1,19.6,-4.158,68600,0.003,0.174
4.1,19.6,-4.158,56500,0.003,0.204
5.639,17.9,4.83,57600,0.017,0.16
5.639,17.9,4.83,52200,0.017,0.14
5.639,17.9,4.83,50400,0.017,0.154
5.639,17.9,4.83,75100,0.017,0.155
5.639,17.9,4.83,67900,0.017,0.159
5.639,17.9,4.83,,0.017,
4.926,17.7,8.031,,0.014,
4.926,17.7,8.031,52600,0.014,0.161
4.231,21,6.228,62000,-0.003,0.122
4.231,21,6.228,,-0.003,
4.231,21,6.228,78000,-0.003,0.131
4.231,21,6.228,88500,-0.003,0.088
7.079,17.2,13.049,71000,,0.079
7.079,17.2,13.049,77600,,0.057
5.991,18,-0.764,56100,-0.004,0.192
5.991,18,-0.764,51700,-0.004,0.158
5.991,18,-0.764,59600,-0.004,0.179
5.876,17.6,-31.837,58300,,0.11
5.876,17.6,-31.837,461800,,0.068
5.08,18.2,2.451,74900,-0.001,0.131
5.08,18.2,2.451,57000,-0.001,0.166
5.08,18.2,2.451,57300,-0.001,0.16
5.08,18.2,2.451,69600,-0.001,0.166
5.08,18.2,2.451,59100,-0.001,0.192
5.08,18.2,2.451,62300,-0.001,0.173
4.463,18.3,3.485,41900,-0.004,0.286
4.463,18.3,3.485,54100,-0.004,0.195
4.463,18.3,3.485,70200,-0.004,0.153
4.463,18.3,3.485,57500,-0.004,0.155
4.463,18.3,3.485,58200,-0.004,0.145
4.463,18.3,3.485,46000,-0.004,0.249
4.463,18.3,3.485,71100,-0.004,0.135
4.463,18.3,3.485,61000,-0.004,0.169
4.463,18.3,3.485,66600,-0.004,0.148
4.466,19.7,2.163,68500,0.009,0.126
4.466,19.7,2.163,,0.009,
4.466,19.7,2.163,69100,0.009,0.13
4.466,19.7,2.163,66100,0.009,0.139
4.466,19.7,2.163,86500,0.009,0.143
4.466,19.7,2.163,65800,0.009,0.183
5.363,18.1,-1.328,95200,0.008,0.124
5.363,18.1,-1.328,74100,0.008,0.118
5.363,18.1,-1.328,90600,0.008,0.107
5.363,18.1,-1.328,76300,0.008,0.125
5.363,18.1,-1.328,79900,0.008,0.125
5.363,18.1,-1.328,79600,0.008,0.155
5.363,18.1,-1.328,75600,0.008,0.164
5.363,18.1,-1.328,86900,0.008,0.159
4.401,18.1,2.465,,0.007,
4.401,18.1,2.465,61600,0.007,0.177
4.401,18.1,2.465,56000,0.007,0.135
4.401,18.1,2.465,75200,0.007,0.144
4.401,18.1,2.465,54400,0.007,0.138
4.401,18.1,2.465,,0.007,
4.831,16.7,4.328,71900,0.011,0.115
4.831,16.7,4.328,79500,0.011,0.14
4.831,16.7,4.328,71600,0.011,0.115
4.831,16.7,4.328,66200,0.011,0.153
4.831,16.7,4.328,94500,0.011,0.182
4.831,16.7,4.328,93300,0.011,0.103
4.831,16.7,4.328,87500,0.011,0.131
4.831,16.7,4.328,102800,0.011,0.079
4.526,17.8,2.445,92100,0.011,0.133
4.526,17.8,2.445,69800,0.011,0.135
4.526,17.8,2.445,63300,0.011,0.133
4.526,17.8,2.445,81100,0.011,0.197
4.526,17.8,2.445,74600,0.011,0.149
4.526,17.8,2.445,83900,0.011,0.126
4.526,17.8,2.445,64500,0.011,0.152
5.01,19,0.902,67500,-0.015,0.164
5.01,19,0.902,68500,-0.015,0.147
5.01,19,0.902,81000,-0.015,0.132
5.01,19,0.902,101000,-0.015,0.154
4.034,17.3,9.104,61300,0.016,0.131
4.034,17.3,9.104,74400,0.016,0.154
4.034,17.3,9.104,61500,0.016,0.122
4.034,17.3,9.104,62100,0.016,0.153
4.165,18.5,7.493,54900,-0.015,0.194
4.165,18.5,7.493,65000,-0.015,0.156
4.165,18.5,7.493,86900,-0.015,0.119
4.165,18.5,7.493,57500,-0.015,0.214
4.165,18.5,7.493,61600,-0.015,0.113
4.316,20.2,4.951,79200,0.009,0.099
4.316,20.2,4.951,55400,0.009,0.174
4.316,20.2,4.951,71600,0.009,0.173
4.316,20.2,4.951,66800,0.009,0.187
4.316,20.2,4.951,73000,0.009,0.12
6.148,18.5,-7.514,92500,0.035,0.174
6.148,18.5,-7.514,164500,0.035,0.049
6.148,18.5,-7.514,97200,0.035,0.089
6.148,18.5,-7.514,118700,0.035,0.13
6.148,18.5,-7.514,104800,0.035,0.094
6.148,18.5,-7.514,193100,0.035,0.093
6.148,18.5,-7.514,117500,0.035,0.068
6.148,18.5,-7.514,105700,0.035,0.105
4.954,17.7,7.534,74000,0.002,0.15
4.954,17.7,7.534,77700,0.002,0.123
4.954,17.7,7.534,102600,0.002,0.111
4.303,15.7,9.889,61200,0.007,0.128
4.303,15.7,9.889,65400,0.007,0.159
4.303,15.7,9.889,59700,0.007,0.172
4.303,15.7,9.889,57800,0.007,0.167
4.541,18.1,5.43,63200,0.031,0.157
4.541,18.1,5.43,87100,0.031,0.142
4.541,18.1,5.43,70300,0.031,0.115
4.541,18.1,5.43,61900,0.031,0.166
4.601,17.3,4.534,51600,0.009,0.13
4.601,17.3,4.534,,0.009,
4.601,17.3,4.534,60900,0.009,0.193
5.634,15.4,1.478,62800,-0.008,0.113
5.634,15.4,1.478,60000,-0.008,0.169
5.634,15.4,1.478,81600,-0.008,0.138
5.634,15.4,1.478,72400,-0.008,0.135
5.634,15.4,1.478,70600,-0.008,0.126
5.634,15.4,1.478,54400,-0.008,0.144
5.271,17.1,0.599,75800,-0.001,0.113
5.271,17.1,0.599,68900,-0.001,0.115
5.271,17.1,0.599,81700,-0.001,0.17
5.271,17.1,0.599,74000,-0.001,0.126
5.271,17.1,0.599,95300,-0.001,0.146
4.785,18.7,3.27,67700,0.002,0.142
4.785,18.7,3.27,74600,0.002,0.173
5.516,15.8,3.928,73000,-0.013,0.103
5.516,15.8,3.928,59600,-0.013,0.118
5.516,15.8,3.928,64700,-0.013,0.085
5.516,15.8,3.928,67600,-0.013,0.079
5.516,15.8,3.928,90800,-0.013,0.092
5.712,16.7,4.262,57200,0.035,0.188
5.712,16.7,4.262,70300,0.035,0.146
5.039,17.6,1.106,64700,-0.006,0.203
5.039,17.6,1.106,,-0.006,
5.039,17.6,1.106,,-0.006,
5.039,17.6,1.106,,-0.006,
5.039,17.6,1.106,63200,-0.006,0.156
5.039,17.6,1.106,91400,-0.006,0.163
5.039,17.6,1.106,75300,-0.006,0.164
6.356,17.2,-5.332,95100,0.004,0.076
6.356,17.2,-5.332,76700,0.004,0.196
6.356,17.2,-5.332,50300,0.004,0.184
6.356,17.2,-5.332,79100,0.004,0.131
6.356,17.2,-5.332,66300,0.004,0.146
6.356,17.2,-5.332,73500,0.004,0.138
6.356,17.2,-5.332,69000,0.004,0.15
6.356,17.2,-5.332,100800,0.004,0.097
6.356,17.2,-5.332,131800,0.004,0.113
6.356,17.2,-5.332,72900,0.004,0.144
6.356,17.2,-5.332,47400,0.004,0.271
6.3,18.1,0.095,69100,0.021,0.21
6.3,18.1,0.095,63000,0.021,0.128
6.3,18.1,0.095,70600,0.021,0.127
6.3,18.1,0.095,71900,0.021,0.167
6.3,18.1,0.095,65800,0.021,0.177
6.3,18.1,0.095,95000,0.021,0.129
6.3,18.1,0.095,,0.021,
6.3,18.1,0.095,66600,0.021,0.16
6.535,18.1,0.957,65700,0.014,0.149
6.535,18.1,0.957,92400,0.014,0.088
6.535,18.1,0.957,71400,0.014,0.151
6.535,18.1,0.957,69100,0.014,0.162
6.535,18.1,0.957,61000,0.014,0.162
6.535,18.1,0.957,82900,0.014,0.131
6.535,18.1,0.957,69400,0.014,0.168
6.535,18.1,0.957,96400,0.014,0.172
6.535,18.1,0.957,95200,0.014,0.118
6.491,19.1,-0.56,77300,,0.119
6.491,19.1,-0.56,99500,,0.162
6.491,19.1,-0.56,91100,,0.184
6.491,19.1,-0.56,80000,,0.168
6.491,19.1,-0.56,61600,,0.16
6.491,19.1,-0.56,79300,,0.16
6.491,19.1,-0.56,79500,,0.102
6.491,19.1,-0.56,81300,,0.132
6.341,19.3,0.477,92100,,0.171
6.341,19.3,0.477,72700,,0.203
6.341,19.3,0.477,60300,,0.225
6.341,19.3,0.477,78000,,0.203
6.655,17.2,-3.912,67800,,0.171
6.655,17.2,-3.912,78600,,0.182
6.655,17.2,-3.912,71500,,0.21
6.655,17.2,-3.912,76100,,0.154
6.655,17.2,-3.912,80400,,0.174
6.655,17.2,-3.912,60500,,0.199
6.991,18.8,0.549,134200,,0.116
6.991,18.8,0.549,68100,,0.148
6.991,18.8,0.549,173600,,0.066
6.991,18.8,0.549,101200,,0.123
6.991,18.8,0.549,107900,,0.1
6.991,18.8,0.549,104900,,0.128
6.991,18.8,0.549,84500,,0.207
6.991,18.8,0.549,84600,,0.176
6.991,18.8,0.549,70600,,0.164
6.991,18.8,0.549,75900,,0.163
6.665,17.8,0.629,76100,,0.161
6.665,17.8,0.629,90100,,0.165
6.665,17.8,0.629,70900,,0.185
6.665,17.8,0.629,68100,,0.135
6.665,17.8,0.629,91600,,0.138
5.998,17.9,-6.336,70900,0.02,0.173
5.998,17.9,-6.336,53900,0.02,0.19
5.998,17.9,-6.336,87000,0.02,0.139
5.998,17.9,-6.336,69100,0.02,0.142
5.998,17.9,-6.336,59300,0.02,0.195
5.998,17.9,-6.336,71100,0.02,0.167
5.998,17.9,-6.336,57600,0.02,0.196
5.998,17.9,-6.336,92200,0.02,0.177
5.998,17.9,-6.336,123600,0.02,0.092
5.998,17.9,-6.336,78000,0.02,0.177
5.998,17.9,-6.336,61400,0.02,0.145
6.45,17.3,-0.317,63300,,0.173
6.45,17.3,-0.317,72000,,0.168
6.45,17.3,-0.317,62700,,0.162
6.45,17.3,-0.317,70700,,0.19
6.45,17.3,-0.317,59500,,0.172
6.45,17.3,-0.317,65800,,0.149
6.45,17.3,-0.317,77100,,0.172
6.01,18.9,1.814,70800,,0.138
6.01,18.9,1.814,62900,,0.172
6.01,18.9,1.814,70000,,0.203
6.01,18.9,1.814,60100,,0.175
6.01,18.9,1.814,93100,,0.131
6.01,18.9,1.814,65700,,0.182
6.01,18.9,1.814,63500,,0.208
6.15,19.5,3.411,81600,,0.157
6.15,19.5,3.411,70500,,0.171
6.15,19.5,3.411,68400,,0.18
6.15,19.5,3.411,,,
6.15,19.5,3.411,86200,,0.129
6.15,19.5,3.411,51000,,0.194
6.437,18.8,-4.199,89800,,0.172
6.437,18.8,-4.199,68900,,0.13
6.437,18.8,-4.199,71800,,0.193
6.437,18.8,-4.199,70700,,0.158
6.437,18.8,-4.199,66900,,0.173
7.067,18,-1.393,68800,,0.208
7.067,18,-1.393,63700,,0.177
7.067,18,-1.393,71800,,0.19
6.961,18.4,1.626,68500,,0.167
6.961,18.4,1.626,94500,,0.164
6.961,18.4,1.626,74000,,0.164
7.061,20.3,-3.78,77500,,0.128
7.061,20.3,-3.78,79900,,0.168
7.061,20.3,-3.78,69100,,0.175
7.061,20.3,-3.78,102900,,0.102
6.341,17.3,-0.717,63800,0.008,0.179
6.341,17.3,-0.717,49800,0.008,0.223
6.341,17.3,-0.717,48900,0.008,0.182
6.498,18.3,-2.923,77800,,0.174
6.498,18.3,-2.923,76500,,0.167
6.498,18.3,-2.923,90400,,0.162
6.498,18.3,-2.923,56500,,0.227
6.498,18.3,-2.923,72800,,0.179
6.498,18.3,-2.923,64700,,0.182
6.405,15.9,1.707,67100,-0.006,0.097
6.405,15.9,1.707,74700,-0.006,0.116
6.405,15.9,1.707,87900,-0.006,0.096
6.405,15.9,1.707,63500,-0.006,0.115
6.405,15.9,1.707,75900,-0.006,0.107
6.405,15.9,1.707,108700,-0.006,0.131
6.405,15.9,1.707,104400,-0.006,0.052
6.405,15.9,1.707,85300,-0.006,0.102
5.934,14.3,2.605,,-0.031,
5.934,14.3,2.605,58900,-0.031,0.105
5.934,14.3,2.605,62200,-0.031,0.108
5.934,14.3,2.605,68800,-0.031,0.128
5.934,14.3,2.605,52900,-0.031,0.115
6.671,13.2,4.502,55800,-0.015,0.139
6.671,13.2,4.502,61100,-0.015,0.1
6.671,13.2,4.502,47400,-0.015,0.175
6.166,14.5,9.915,60500,-0.032,0.125
6.166,14.5,9.915,63400,-0.032,0.126
6.166,14.5,9.915,69700,-0.032,0.073
5.973,16.8,3.361,73000,-0.021,0.086
5.973,16.8,3.361,89000,-0.021,0.078
5.973,16.8,3.361,63400,-0.021,0.093
5.973,16.8,3.361,101100,-0.021,0.099
6.214,17.2,1.667,85800,-0.011,0.135
6.214,17.2,1.667,84600,-0.011,0.077
6.214,17.2,1.667,72100,-0.011,0.101
6.214,17.2,1.667,63600,-0.011,0.061
6.214,17.2,1.667,60800,-0.011,0.097
6.214,17.2,1.667,71800,-0.011,0.081
6.03,13.6,4.72,73500,-0.033,0.095
6.03,13.6,4.72,66100,-0.033,0.1
6.03,13.6,4.72,68200,-0.033,0.104
6.03,13.6,4.72,62200,-0.033,0.104
6.203,14.2,4.168,62400,-0.022,0.071
6.203,14.2,4.168,67300,-0.022,0.09
6.203,14.2,4.168,67800,-0.022,0.082
6.203,14.2,4.168,61000,-0.022,0.082
6.203,14.2,4.168,83200,-0.022,0.147
6.203,14.2,4.168,61600,-0.022,0.149
6.048,14.1,6.525,70800,-0.027,0.067
6.048,14.1,6.525,60200,-0.027,0.114
6.048,14.1,6.525,60800,-0.027,0.113
5.944,16.5,2.004,69600,0,0.09
5.944,16.5,2.004,122100,0,0.067
5.944,16.5,2.004,67000,0,0.164
5.944,16.5,2.004,78500,0,0.166
5.944,16.5,2.004,64500,0,0.084
5.795,14.2,5.24,80500,-0.026,0.104
5.795,14.2,5.24,61100,-0.026,0.116
5.795,14.2,5.24,68200,-0.026,0.081
5.795,14.2,5.24,63200,-0.026,0.115
5.926,14.8,10.219,73400,-0.025,0.084
5.926,14.8,10.219,69100,-0.025,0.093
5.926,14.8,10.219,57700,-0.025,0.091
5.926,14.8,10.219,65500,-0.025,0.103
5.926,14.8,10.219,74300,-0.025,0.057
6.49,13.4,4.511,59500,-0.018,0.164
6.49,13.4,4.511,47900,-0.018,0.178
6.49,13.4,4.511,,-0.018,
6.49,13.4,4.511,68800,-0.018,0.122
6.271,14.6,9.503,81300,-0.033,0.084
6.271,14.6,9.503,88700,-0.033,0.085
6.271,14.6,9.503,63100,-0.033,0.073
6.271,14.6,9.503,67000,-0.033,0.079
6.098,15.4,5.201,74400,-0.006,0.125
6.098,15.4,5.201,64200,-0.006,0.087
6.09,15.6,3.07,57400,-0.01,0.109
6.09,15.6,3.07,111200,-0.01,0.085
6.09,15.6,3.07,60000,-0.01,0.123
6.09,15.6,3.07,65400,-0.01,0.11
6.09,15.6,3.07,79700,-0.01,0.101
6.09,15.6,3.07,56600,-0.01,0.125
6.09,15.6,3.07,54600,-0.01,0.116
6.09,15.6,3.07,67800,-0.01,0.167
7.665,15.3,9.026,59700,-0.013,0.11
7.665,15.3,9.026,60900,-0.013,0.077
7.665,15.3,9.026,71200,-0.013,0.108
5.982,14.5,3.677,73700,-0.028,0.143
5.982,14.5,3.677,64500,-0.028,0.107
6.173,16.6,-0.627,64900,0.012,0.108
6.173,16.6,-0.627,109500,0.012,0.112
6.173,16.6,-0.627,74200,0.012,0.145
6.173,16.6,-0.627,79500,0.012,0.122
6.173,16.6,-0.627,78700,0.012,0.091
6.173,16.6,-0.627,118600,0.012,0.132
6.173,16.6,-0.627,89600,0.012,0.104
6.173,16.6,-0.627,71400,0.012,0.089
6.173,16.6,-0.627,85400,0.012,0.072
6.155,15.4,-1.602,85300,-0.015,0.133
6.155,15.4,-1.602,77200,-0.015,0.154
6.155,15.4,-1.602,77900,-0.015,0.116
6.155,15.4,-1.602,66900,-0.015,0.14
6.003,14.9,10.514,61200,-0.031,0.087
6.003,14.9,10.514,65200,-0.031,0.113
6.003,14.9,10.514,86700,-0.031,0.067
5.613,15.9,-0.747,63100,0.003,0.14
5.613,15.9,-0.747,73500,0.003,0.088
5.613,15.9,-0.747,84900,0.003,0.153
5.613,15.9,-0.747,67700,0.003,0.183
5.613,15.9,-0.747,64300,0.003,0.092
5.613,15.9,-0.747,67500,0.003,0.069
5.613,15.9,-0.747,100400,0.003,0.12
6.848,15.9,8.616,59600,-0.018,0.107
6.848,15.9,8.616,61000,-0.018,0.09
6.848,15.9,8.616,62200,-0.018,0.095
6.848,15.9,8.616,61900,-0.018,0.079
6.848,15.9,8.616,69400,-0.018,0.1
6.182,14.9,5.142,58600,-0.017,0.178
6.182,14.9,5.142,57700,-0.017,0.17
6.182,14.9,5.142,65400,-0.017,0.177
6.182,14.9,5.142,,-0.017,
6.836,16,6.203,67800,0,0.176
6.836,16,6.203,78200,0,0.126
6.334,13.7,10.643,55600,-0.027,0.11
6.334,13.7,10.643,,-0.027,
6.334,13.7,10.643,76100,-0.027,0.121
6.736,14.1,9.964,64500,-0.009,0.143
6.736,14.1,9.964,,-0.009,
6.736,14.1,9.964,61900,-0.009,0.139
6.736,14.1,9.964,,-0.009,
6.736,14.1,9.964,,-0.009,
4.965,16.8,1.806,59800,0.006,0.187
4.965,16.8,1.806,58200,0.006,0.199
4.965,16.8,1.806,61900,0.006,0.154
4.965,16.8,1.806,69000,0.006,0.202
4.965,16.8,1.806,54700,0.006,0.208
4.965,16.8,1.806,46600,0.006,0.218
6.534,14.3,15.663,56700,-0.025,0.174
6.534,14.3,15.663,70300,-0.025,0.053
6.149,17.4,-2.99,85700,0.01,0.143
6.149,17.4,-2.99,61900,0.01,0.139
6.149,17.4,-2.99,68000,0.01,0.142
6.149,17.4,-2.99,94600,0.01,0.176
6.149,17.4,-2.99,77000,0.01,0.179
8.784,14.9,1.357,,-0.023,
8.784,14.9,1.357,70300,-0.023,0.126
8.784,14.9,1.357,69400,-0.023,0.164
6.473,14.9,4.974,,-0.017,
6.473,14.9,4.974,69200,-0.017,0.19
6.473,14.9,4.974,,-0.017,
6.473,14.9,4.974,66100,-0.017,0.179
7.904,12.6,,,,
7.904,12.6,,,,
5.524,16.4,-4.287,,-0.022,
5.524,16.4,-4.287,67800,-0.022,0.208
5.524,16.4,-4.287,67300,-0.022,0.112
5.524,16.4,-4.287,,-0.022,
6.102,15.6,14.006,63300,-0.023,0.128
6.102,15.6,14.006,65300,-0.023,0.139
6.102,15.6,14.006,53600,-0.023,0.223
6.102,15.6,14.006,68700,-0.023,0.095
6.102,15.6,14.006,68700,-0.023,0.126
6.102,15.6,14.006,81300,-0.023,0.094
7.398,12.2,9.956,66600,-0.034,0.118
7.398,12.2,9.956,,-0.034,
7.398,12.2,9.956,57900,-0.034,0.12
10.5,9.6,,,,
7.4,11.2,15.591,,-0.035,
7.4,11.2,15.591,,-0.035,
5.093,14.9,-0.567,59100,-0.015,0.161
5.093,14.9,-0.567,94600,-0.015,0.132
5.093,14.9,-0.567,62300,-0.015,0.205
5.093,14.9,-0.567,59800,-0.015,0.161
5.093,14.9,-0.567,68000,-0.015,0.141
5.093,14.9,-0.567,47300,-0.015,0.184
5.093,14.9,-0.567,55200,-0.015,0.16
6.66,16.4,4.064,92100,-0.006,0.102
6.66,16.4,4.064,60600,-0.006,0.124
6.66,16.4,4.064,66900,-0.006,0.125
6.66,16.4,4.064,61400,-0.006,0.16
6.66,16.4,4.064,85900,-0.006,0.161
6.66,16.4,4.064,62900,-0.006,0.122
6.468,13.1,17.463,79200,-0.012,0.09
6.468,13.1,17.463,55900,-0.012,0.153
6.468,13.1,17.463,,-0.012,
6.078,14.6,9.217,67300,-0.008,0.129
6.078,14.6,9.217,74100,-0.008,0.167
6.078,14.6,9.217,62200,-0.008,0.143
6.504,16.5,-1.545,70300,-0.004,0.251
6.504,16.5,-1.545,,-0.004,
6.504,16.5,-1.545,,-0.004,
6.504,16.5,-1.545,,-0.004,
7.703,11.7,9.678,,-0.025,
7.703,11.7,9.678,,-0.025,
7.703,11.7,9.678,,-0.025,
7.703,11.7,9.678,67200,-0.025,0.117
7.61,12,8.363,,-0.017,
7.61,12,8.363,59100,-0.017,0.121
9.888,13.8,-3.071,67700,-0.025,0.255
9.888,13.8,-3.071,,-0.025,
9.888,13.8,-3.071,76500,-0.025,0.23
6.577,13.5,15.348,,-0.034,
6.577,13.5,15.348,69300,-0.034,0.102
6.577,13.5,15.348,,-0.034,
7.414,15.3,14.538,77400,-0.022,0.154
7.414,15.3,14.538,74300,-0.022,0.114
7.414,15.3,14.538,64800,-0.022,0.127
6.45,16.2,-0.787,159400,0.004,0.067
6.45,16.2,-0.787,58400,0.004,0.185
6.45,16.2,-0.787,76200,0.004,0.135
6.45,16.2,-0.787,58200,0.004,0.257
6.45,16.2,-0.787,57400,0.004,0.176
6.45,16.2,-0.787,79400,0.004,0.142
6.45,16.2,-0.787,91100,0.004,0.128
6.45,16.2,-0.787,76600,0.004,0.191
6.45,16.2,-0.787,64400,0.004,0.133
6.45,16.2,-0.787,64300,0.004,0.161
6.45,16.2,-0.787,108900,0.004,0.083
6.45,16.2,-0.787,68800,0.004,0.182
5.039,16.3,1.513,58700,-0.007,0.177
5.039,16.3,1.513,58700,-0.007,0.207
5.039,16.3,1.513,60000,-0.007,0.155
5.039,16.3,1.513,54000,-0.007,0.189
5.039,16.3,1.513,51200,-0.007,0.216
5.039,16.3,1.513,83400,-0.007,0.152
8.285,10.9,10.459,,-0.019,
8.285,10.9,10.459,,-0.019,
5.878,15.7,6.971,,-0.021,
5.878,15.7,6.971,60900,-0.021,0.135
5.878,15.7,6.971,79500,-0.021,0.173
7.199,12.2,20.071,70700,-0.028,0.096
7.199,12.2,20.071,55000,-0.028,0.097
5.555,15.5,-8.461,,0.023,
5.555,15.5,-8.461,69300,0.023,0.253
5.555,15.5,-8.461,63700,0.023,0.153
7.754,12.3,14.946,60800,-0.023,0.069
7.754,12.3,14.946,,-0.023,
6.397,14.7,0.488,,-0.016,
6.397,14.7,0.488,,-0.016,
6.397,14.7,0.488,62800,-0.016,0.219
6.397,14.7,0.488,,-0.016,
6.952,11.7,17.097,55700,-0.024,0.082
8.507,11.9,15.222,57300,-0.03,0.127
8.507,11.9,15.222,,-0.03,
6.592,13.6,-2.205,62300,-0.035,0.177
6.592,13.6,-2.205,,-0.035,
5.746,15.5,0.819,43400,0.006,0.218
5.746,15.5,0.819,41100,0.006,0.183
5.746,15.5,0.819,46000,0.006,0.208
5.746,15.5,0.819,44800,0.006,0.178
5.746,15.5,0.819,54600,0.006,0.184
5.925,17.3,3.097,53400,-0.008,0.187
5.925,17.3,3.097,43500,-0.008,0.234
5.925,17.3,3.097,58700,-0.008,0.209
5.925,17.3,3.097,60400,-0.008,0.241
5.925,17.3,3.097,77700,-0.008,0.168
5.984,16.6,-3.656,72900,0.015,0.155
5.984,16.6,-3.656,66100,0.015,0.151
5.984,16.6,-3.656,66600,0.015,0.17
5.984,16.6,-3.656,101100,0.015,0.154
5.984,16.6,-3.656,72700,0.015,0.166
5.984,16.6,-3.656,63100,0.015,0.175
5.984,16.6,-3.656,79400,0.015,0.148
5.984,16.6,-3.656,45300,0.015,0.233
5.984,16.6,-3.656,51700,0.015,0.197
5.984,16.6,-3.656,44400,0.015,0.262
5.984,16.6,-3.656,,0.015,
5.984,16.6,-3.656,81400,0.015,0.19
5.984,16.6,-3.656,90700,0.015,0.134
5.62,15.4,-1.207,61700,-0.006,0.176
5.62,15.4,-1.207,,-0.006,
5.62,15.4,-1.207,42900,-0.006,0.209
5.62,15.4,-1.207,40300,-0.006,0.193
5.62,15.4,-1.207,57000,-0.006,0.177
5.62,15.4,-1.207,,-0.006,
5.556,15.8,-6.92,43100,0.014,0.207
5.556,15.8,-6.92,,0.014,
5.556,15.8,-6.92,61600,0.014,0.196
5.614,15.1,-9.315,44900,-0.005,0.179
5.614,15.1,-9.315,45400,-0.005,0.215
5.614,15.1,-9.315,,-0.005,
6.243,19.1,5.432,102000,-0.015,0.127
6.243,19.1,5.432,85000,-0.015,0.148
6.243,19.1,5.432,,-0.015,
6.243,19.1,5.432,60400,-0.015,0.221
6.243,19.1,5.432,96600,-0.015,0.157
6.243,19.1,5.432,60700,-0.015,0.189
6.243,19.1,5.432,46700,-0.015,0.202
6.243,19.1,5.432,54800,-0.015,0.179
6.243,19.1,5.432,88400,-0.015,0.154
6.243,19.1,5.432,84500,-0.015,0.131
6.243,19.1,5.432,103400,-0.015,0.169
6.243,19.1,5.432,94400,-0.015,0.103
6.436,16.5,-2.126,83100,0.001,0.147
6.436,16.5,-2.126,48200,0.001,0.16
6.436,16.5,-2.126,,0.001,
6.436,16.5,-2.126,64200,0.001,0.162
6.436,16.5,-2.126,55500,0.001,0.157
6.436,16.5,-2.126,52500,0.001,0.181
6.436,16.5,-2.126,74700,0.001,0.164
6.436,16.5,-2.126,52900,0.001,0.172
5.847,16,-3.142,69800,0.009,0.171
5.847,16,-3.142,54200,0.009,0.149
5.847,16,-3.142,47200,0.009,0.234
5.847,16,-3.142,61000,0.009,0.184
6.08,16.3,-3.84,51800,-0.005,0.178
6.08,16.3,-3.84,47900,-0.005,0.17
6.08,16.3,-3.84,39600,-0.005,0.219
6.08,16.3,-3.84,72600,-0.005,0.168
6.784,14.8,-5.552,45300,0.03,0.176
6.784,14.8,-5.552,,0.03,
6.784,14.8,-5.552,42500,0.03,0.16
6.784,14.8,-5.552,,0.03,
6.784,14.8,-5.552,36900,0.03,0.201
5.676,18,-1.755,56600,-0.006,0.177
5.676,18,-1.755,49000,-0.006,0.205
5.676,18,-1.755,65700,-0.006,0.175
5.676,18,-1.755,57100,-0.006,0.165
5.676,18,-1.755,59300,-0.006,0.173
6.026,16.7,9.696,50700,-0.015,0.226
6.026,16.7,9.696,74900,-0.015,0.169
6.026,16.7,9.696,64900,-0.015,0.201
6.026,16.7,9.696,56500,-0.015,0.205
6.026,16.7,9.696,55800,-0.015,0.204
