School Expenditure/Student,Teacher-Student Ratio,Test Score Percentile,Mean Parent Income,HS Dropout Rate,Teenage Birth Rates
5.344,21.1,-16.716,63500,,0.196
5.565,22.8,-19.096,54600,,0.223
5.565,22.8,-19.096,50600,,0.194
4.673,15.9,-12.254,55200,0.013,0.23
4.673,15.9,-12.254,37200,0.013,0.229
4.673,15.9,-12.254,48700,0.013,0.209
4.643,17.4,-11.593,58100,0.009,0.23
4.895,17.2,5.828,60500,-0.007,0.16
4.895,17.2,5.828,44200,-0.007,0.161
4.895,17.2,5.828,37200,-0.007,0.183
5.063,18.3,1.533,99000,0.014,0.186
5.063,18.3,1.533,43700,0.014,0.198
5.063,18.3,1.533,70500,0.014,0.169
5.063,18.3,1.533,42700,0.014,0.251
5.063,18.3,1.533,43400,0.014,0.249
4.871,17.2,5.503,58800,0.002,0.187
4.871,17.2,5.503,49300,0.002,0.2
4.871,17.2,5.503,36900,0.002,0.224
4.871,17.2,5.503,34100,0.002,0.125
5.002,18,-15.882,49500,0.009,0.235
5.002,18,-15.882,38800,0.009,0.267
5.002,18,-15.882,54200,0.009,0.201
5.002,18,-15.882,46300,0.009,0.263
5.002,18,-15.882,52600,0.009,0.212
5.002,18,-15.882,52900,0.009,0.261
5.002,18,-15.882,40900,0.009,0.293
4.725,16.6,-9.728,,0.005,
4.725,16.6,-9.728,46600,0.005,0.245
4.725,16.6,-9.728,47500,0.005,0.221
4.725,16.6,-9.728,60700,0.005,0.225
4.738,17.1,-1.747,55300,0.002,0.227
4.738,17.1,-1.747,67900,0.002,0.191
4.738,17.1,-1.747,46300,0.002,0.243
4.738,17.1,-1.747,50200,0.002,0.211
4.738,17.1,-1.747,46800,0.002,0.267
4.738,17.1,-1.747,,0.002,
4.738,17.1,-1.747,45700,0.002,0.251
4.738,17.1,-1.747,50800,0.002,0.203
4.696,17.1,0.329,49700,0.003,0.261
4.696,17.1,0.329,69900,0.003,0.188
4.696,17.1,0.329,57100,0.003,0.208
4.696,17.1,0.329,45200,0.003,0.196
4.696,17.1,0.329,44900,0.003,0.232
4.696,17.1,0.329,47900,0.003,0.177
4.875,17.1,6.815,50600,0.021,0.178
4.875,17.1,6.815,41100,0.021,0.203
4.875,17.1,6.815,41900,0.021,0.252
4.759,16.6,-11.371,56600,0,0.204
4.759,16.6,-11.371,37000,0,0.303
5.365,17.4,-9.092,53100,0.007,0.198
5.365,17.4,-9.092,75100,0.007,0.176
5.365,17.4,-9.092,66800,0.007,0.191
5.365,17.4,-9.092,65400,0.007,0.19
5.365,17.4,-9.092,48200,0.007,0.183
5.365,17.4,-9.092,78100,0.007,0.198
5.365,17.4,-9.092,74800,0.007,0.163
4.869,16.5,-2.179,53900,0.004,0.228
4.869,16.5,-2.179,43500,0.004,0.257
4.869,16.5,-2.179,73800,0.004,0.188
4.869,16.5,-2.179,42200,0.004,0.276
4.869,16.5,-2.179,44100,0.004,0.265
4.869,16.5,-2.179,44800,0.004,0.252
4.869,16.5,-2.179,50200,0.004,0.236
4.869,16.5,-2.179,44800,0.004,0.249
4.632,17.2,-14.367,48100,0.024,0.287
4.632,17.2,-14.367,48400,0.024,0.262
4.632,17.2,-14.367,34500,0.024,0.322
4.632,17.2,-14.367,35500,0.024,0.29
4.632,17.2,-14.367,38800,0.024,0.284
4.529,17.3,4.951,54300,0.011,0.195
4.529,17.3,4.951,50600,0.011,0.244
4.529,17.3,4.951,47600,0.011,0.233
4.529,17.3,4.951,68400,0.011,0.186
4.529,17.3,4.951,51100,0.011,0.251
4.706,15.2,2.757,42100,-0.014,0.188
4.706,15.2,2.757,50500,-0.014,0.204
4.706,15.2,2.757,35600,-0.014,0.183
4.706,15.2,2.757,33100,-0.014,0.225
4.706,15.2,2.757,42500,-0.014,0.22
4.942,15.9,5.831,57700,0.001,0.203
4.942,15.9,5.831,42700,0.001,0.2
4.942,15.9,5.831,42500,0.001,0.2
4.533,17.1,3.54,48900,0.007,0.239
4.533,17.1,3.54,55300,0.007,0.213
4.533,17.1,3.54,50000,0.007,0.269
5.48,14.2,4.345,51000,-0.003,0.241
5.48,14.2,4.345,53600,-0.003,0.252
5.48,14.2,4.345,65500,-0.003,0.22
5.48,14.2,4.345,57900,-0.003,0.283
5.48,14.2,4.345,53300,-0.003,0.223
5.48,14.2,4.345,56300,-0.003,0.213
5.48,14.2,4.345,48800,-0.003,0.231
5.48,14.2,4.345,61900,-0.003,0.245
4.637,15.9,-12.888,46300,0.029,0.297
4.637,15.9,-12.888,46300,0.029,0.244
4.637,15.9,-12.888,40700,0.029,0.318
4.887,15.6,-1.466,42300,0,0.26
4.887,15.6,-1.466,46600,0,0.212
4.887,15.6,-1.466,40800,0,0.253
4.887,15.6,-1.466,43500,0,0.257
4.887,15.6,-1.466,38200,0,0.232
5.917,22.9,-17.251,113800,,0.1
5.917,22.9,-17.251,141600,,0.084
5.917,22.9,-17.251,246100,,0.029
5.917,22.9,-17.251,113700,,0.08
5.917,22.9,-17.251,137200,,0.075
5.917,22.9,-17.251,181100,,0.071
5.917,22.9,-17.251,84700,,0.119
5.495,23.3,-11.615,,-0.02,
5.495,23.3,-11.615,76400,-0.02,0.105
5.495,23.3,-11.615,66400,-0.02,0.092
5.495,23.3,-11.615,99400,-0.02,0.083
5.495,23.3,-11.615,78700,-0.02,0.082
5.495,23.3,-11.615,113500,-0.02,0.073
5.495,23.3,-11.615,81500,-0.02,0.125
5.495,23.3,-11.615,74900,-0.02,0.151
5.495,23.3,-11.615,84500,-0.02,0.107
5.495,23.3,-11.615,97000,-0.02,0.108
5.606,22.7,-14.579,69600,,0.108
5.606,22.7,-14.579,57600,,0.192
5.606,22.7,-14.579,57100,,0.142
5.606,22.7,-14.579,61600,,0.132
5.606,22.7,-14.579,50100,,0.164
5.377,20.4,-9.264,58000,0.002,0.158
5.377,20.4,-9.264,59600,0.002,0.14
5.555,23.2,-18.836,64600,,0.192
5.555,23.2,-18.836,58100,,0.209
5.555,23.2,-18.836,60000,,0.193
5.555,23.2,-18.836,55300,,0.208
6.499,20.5,-7.355,66800,,0.108
6.499,20.5,-7.355,49300,,0.126
7.223,21,-14.086,71900,,0.122
7.223,21,-14.086,72100,,0.083
5.756,23.6,-21.294,68400,,0.194
7.597,21.3,-14.668,57900,,0.143
7.597,21.3,-14.668,64900,,0.13
7.597,21.3,-14.668,105100,,0.079
6.149,20.1,-8.53,68100,-0.008,0.151
6.149,20.1,-8.53,56200,-0.008,0.086
6.149,20.1,-8.53,54900,-0.008,0.126
6.149,20.1,-8.53,62900,-0.008,0.165
5.838,23.5,-18.956,62300,,0.096
5.838,23.5,-18.956,56100,,0.18
5.838,23.5,-18.956,72500,,0.139
5.838,23.5,-18.956,66700,,0.107
5.952,24,-20.475,78100,,0.158
5.952,24,-20.475,81100,,0.144
5.952,24,-20.475,173300,,0.09
5.952,24,-20.475,102400,,0.111
5.694,22,-2.797,71300,,0.094
5.694,22,-2.797,,,
5.406,23.5,-10.538,92400,,0.111
5.718,22.3,-10.878,84700,,0.093
5.718,22.3,-10.878,97500,,0.121
5.688,22.4,-9.694,68200,,0.134
5.688,22.4,-9.694,50300,,0.186
6.045,20.3,-5.737,71100,,0.195
6.045,20.3,-5.737,151700,,0.098
6.045,20.3,-5.737,136300,,0.085
6.045,20.3,-5.737,,,
6.045,20.3,-5.737,85500,,0.217
6.045,20.3,-5.737,161100,,0.05
6.045,20.3,-5.737,90400,,0.102
6.045,20.3,-5.737,,,
6.045,20.3,-5.737,116800,,0.09
6.045,20.3,-5.737,74600,,0.096
5.952,15.9,-4.938,55600,,0.189
5.952,15.9,-4.938,43900,,0.225
5.952,15.9,-4.938,,,
5.952,15.9,-4.938,,,
5.952,15.9,-4.938,59200,,0.237
5.952,15.9,-4.938,42800,,0.26
5.098,17.3,-8.531,60100,0.005,0.142
5.098,17.3,-8.531,79300,0.005,0.102
5.098,17.3,-8.531,,0.005,
5.098,17.3,-8.531,61600,0.005,0.2
7.474,10.8,,,,
5.7,18.3,0.741,,,
5.7,18.3,0.741,,,
5.7,18.3,0.741,52700,,0.232
5.7,18.3,0.741,51100,,0.251
5.7,18.3,0.741,67100,,0.22
5.695,15.5,6.261,65800,,0.129
6.836,13.2,8.654,,,
6.836,13.2,8.654,,,
6.836,13.2,8.654,59400,,0.128
5.477,18.7,6.149,,,
5.477,18.7,6.149,89200,,0.143
5.477,18.7,6.149,62100,,0.192
5.477,18.7,6.149,85800,,0.136
5.357,18.4,1.926,56200,,0.179
5.357,18.4,1.926,76000,,0.162
5.357,18.4,1.926,62700,,0.166
5.357,18.4,1.926,,,
5.357,18.4,1.926,,,
6.648,16.7,-7.301,,-0.013,
6.648,16.7,-7.301,59400,-0.013,0.149
6.648,16.7,-7.301,60200,-0.013,0.149
11.906,16.7,-9.601,158200,,0.12
11.906,16.7,-9.601,84800,,0.132
11.906,16.7,-9.601,62800,,0.224
11.906,16.7,-9.601,478400,,0.025
11.906,16.7,-9.601,122000,,0.045
6.111,14.9,10.263,77100,,0.095
7.487,14.4,5.732,91500,,0.099
7.487,14.4,5.732,,,
6.233,15.9,-3.549,47200,,0.246
6.233,15.9,-3.549,45500,,0.219
6.262,14.5,9.725,,0.027,
6.262,14.5,9.725,92500,0.027,0.095
5.458,18.9,0.13,99800,,0.098
5.458,18.9,0.13,57000,,0.209
5.458,18.9,0.13,75900,,0.195
5.838,16.9,,,,
6.612,14.7,5.504,69400,,0.189
6.612,14.7,5.504,,,
6.612,14.7,5.504,,,
6.612,14.7,5.504,58800,,0.116
5.607,17.6,8.282,72000,,0.151
5.607,17.6,8.282,81600,,0.129
5.607,17.6,8.282,101800,,0.066
8.616,12.8,10.627,,-0.02,
8.616,12.8,10.627,,-0.02,
8.616,12.8,10.627,69600,-0.02,0.117
8.616,12.8,10.627,,-0.02,
8.888,14.9,-4.993,230700,,0.08
8.888,14.9,-4.993,115000,,0.109
8.888,14.9,-4.993,106400,,0.059
8.888,14.9,-4.993,109700,,0.065
8.888,14.9,-4.993,97100,,0.103
8.888,14.9,-4.993,96100,,0.106
8.888,14.9,-4.993,107800,,0.058
8.888,14.9,-4.993,77200,,0.113
6.835,16.7,5.869,67100,0.001,0.177
6.835,16.7,5.869,63100,0.001,0.196
6.835,16.7,5.869,47900,0.001,0.208
6.835,16.7,5.869,72400,0.001,0.193
6.835,16.7,5.869,62200,0.001,0.169
7.584,17.7,-3.338,104100,0.006,0.145
7.584,17.7,-3.338,76400,0.006,0.138
7.694,18.9,-6.882,92700,-0.002,0.208
7.694,18.9,-6.882,106700,-0.002,0.12
7.694,18.9,-6.882,90400,-0.002,0.137
7.694,18.9,-6.882,102900,-0.002,0.095
7.694,18.9,-6.882,175400,-0.002,0.06
7.694,18.9,-6.882,76200,-0.002,0.158
7.694,18.9,-6.882,80100,-0.002,0.155
7.694,18.9,-6.882,134200,-0.002,0.087
7.694,18.9,-6.882,164700,-0.002,0.052
7.694,18.9,-6.882,111300,-0.002,0.099
7.694,18.9,-6.882,145100,-0.002,0.065
7.694,18.9,-6.882,101100,-0.002,0.116
7.694,18.9,-6.882,82900,-0.002,0.108
7.694,18.9,-6.882,71300,-0.002,0.155
7.694,18.9,-6.882,125600,-0.002,0.13
7.694,18.9,-6.882,142100,-0.002,0.046
7.694,18.9,-6.882,162600,-0.002,0.044
7.694,18.9,-6.882,96400,-0.002,0.136
