STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
5,23,Cleburne, AR,25970,35.510232,-92.037481
5,25,Cleveland, AR,8689,33.914989,-92.139146
5,27,Columbia, AR,24552,33.258045,-93.247459
5,29,Conway, AR,21273,35.214487,-92.70416
5,31,Craighead, AR,96443,35.835235,-90.669325
5,33,Crawford, AR,61948,35.496882,-94.28436
5,35,Crittenden, AR,50902,35.17736,-90.217261
5,37,Cross, AR,17870,35.252833,-90.775307
5,39,Dallas, AR,8116,33.869213,-92.527123
5,41,Desha, AR,13008,33.773838,-91.417485
5,43,Drew, AR,18509,33.6274,-91.781779
5,45,Faulkner, AR,113237,35.104918,-92.405359
5,47,Franklin, AR,18125,35.446102,-93.885464
5,49,Fulton, AR,12245,36.376787,-91.764934
5,51,Garland, AR,96024,34.505811,-93.081852
5,53,Grant, AR,17853,34.309174,-92.412714
5,55,Greene, AR,42090,36.07312,-90.523016
5,57,Hempstead, AR,22609,33.699647,-93.623587
5,59,Hot Spring, AR,32923,34.353464,-92.894595
5,61,Howard, AR,13789,33.983198,-93.910184
5,63,Independence, AR,36647,35.749801,-91.607539
5,65,Izard, AR,13696,36.120217,-91.908429
5,67,Jackson, AR,17997,35.621102,-91.246233
5,69,Jefferson, AR,77435,34.233473,-92.041179
5,71,Johnson, AR,25540,35.475272,-93.475517
5,73,Lafayette, AR,7645,33.287629,-93.557538
5,75,Lawrence, AR,17415,36.070224,-91.065733
5,77,Lee, AR,10424,34.785214,-90.774516
5,79,Lincoln, AR,14134,33.975379,-91.746234
5,81,Little River, AR,13171,33.700518,-94.195995
5,83,Logan, AR,22353,35.227532,-93.768119
5,85,Lonoke, AR,68356,34.905178,-91.970577
5,87,Madison, AR,15717,36.061309,-93.755297
5,89,Marion, AR,16653,36.28457,-92.663368
5,91,Miller, AR,43462,33.400831,-93.987504
5,93,Mississippi, AR,46480,35.84288,-89.999037
5,95,Monroe, AR,8149,34.777729,-91.218021
5,97,Montgomery, AR,9487,34.517013,-93.622663
5,99,Nevada, AR,8997,33.722168,-93.358085
5,101,Newton, AR,8330,35.98494,-93.1705
5,103,Ouachita, AR,26120,33.574461,-92.838871
5,105,Perry, AR,10445,34.999054,-92.779271
5,107,Phillips, AR,21757,34.529768,-90.707796
5,109,Pike, AR,11291,34.187298,-93.624765
5,111,Poinsett, AR,24583,35.60191,-90.557998
5,113,Polk, AR,20662,34.52045,-94.258519
5,115,Pope, AR,61754,35.309776,-93.097238
5,117,Prairie, AR,8715,34.859177,-91.536241
5,119,Pulaski, AR,382748,34.773719,-92.311659
5,121,Randolph, AR,17969,36.304758,-90.98842
5,123,St. Francis, AR,28258,35.015313,-90.770297
5,125,Saline, AR,107118,34.593233,-92.546163
5,127,Scott, AR,11233,34.907145,-94.095905
5,129,Searcy, AR,8195,35.922829,-92.659155
5,131,Sebastian, AR,125744,35.318195,-94.354435
5,133,Sevier, AR,17058,34.014236,-94.304091
5,135,Sharp, AR,17264,36.178493,-91.520168
5,137,Stone, AR,12394,35.856705,-92.137
5,139,Union, AR,41639,33.20687,-92.64508
5,141,Van Buren, AR,17295,35.567839,-92.421475
5,143,Washington, AR,203065,36.094275,-94.172222
5,145,White, AR,77076,35.243736,-91.767388
5,147,Woodruff, AR,7260,35.233191,-91.252079
5,149,Yell, AR,22185,35.120982,-93.28946
6,1,Alameda, CA,1510271,37.705201,-122.100393
6,3,Alpine, CA,1175,38.728298,-119.847603
6,5,Amador, CA,38091,38.394208,-120.775729
6,7,Butte, CA,220000,39.669037,-121.707635
6,9,Calaveras, CA,45578,38.163627,-120.633718
6,11,Colusa, CA,21419,39.156148,-122.085557
6,13,Contra Costa, CA,1049025,37.935588,-122.030131
6,15,Del Norte, CA,28610,41.791232,-124.163088
6,17,El Dorado, CA,181058,38.746543,-120.74433
6,19,Fresno, CA,930450,36.738918,-119.767884
6,21,Glenn, CA,28122,39.663418,-122.177491
6,23,Humboldt, CA,134623,40.752982,-124.087189
6,25,Imperial, CA,174528,32.841101,-115.534487
6,27,Inyo, CA,18546,37.160247,-118.267513
6,29,Kern, CA,839631,35.372968,-118.936004
6,31,Kings, CA,152982,36.242749,-119.729084
6,33,Lake, CA,64665,38.973362,-122.734609
6,35,Lassen, CA,34895,40.392397,-120.579176
6,37,Los Angeles, CA,9818605,34.065193,-118.244222
6,39,Madera, CA,150865,37.043099,-120.00675
6,41,Marin, CA,252409,37.986705,-122.547075
6,43,Mariposa, CA,18251,37.542748,-119.957219
6,45,Mendocino, CA,87841,39.285329,-123.397227
6,47,Merced, CA,255793,37.281016,-120.623989
6,49,Modoc, CA,9686,41.522584,-120.650911
6,51,Mono, CA,14202,37.763322,-118.970594
6,53,Monterey, CA,415057,36.611722,-121.646162
6,55,Napa, CA,136484,38.329075,-122.321646
6,57,Nevada, CA,98764,39.219524,-120.916546
6,59,Orange, CA,3010232,33.733953,-117.86288
6,61,Placer, CA,348432,38.844511,-121.182466
6,63,Plumas, CA,20007,39.983857,-120.825847
6,65,Riverside, CA,2189641,33.800439,-117.066205
6,67,Sacramento, CA,1418788,38.56895,-121.380861
6,69,San Benito, CA,55269,36.843404,-121.403859
6,71,San Bernardino, CA,2035210,34.190248,-117.357474
6,73,San Diego, CA,3095313,32.88326,-117.112994
6,75,San Francisco, CA,805235,37.759598,-122.438323
6,77,San Joaquin, CA,685306,37.931804,-121.298108
6,79,San Luis Obispo, CA,269637,35.342391,-120.667689
6,81,San Mateo, CA,718451,37.56395,-122.340991
6,83,Santa Barbara, CA,423895,34.639262,-120.092602
6,85,Santa Clara, CA,1781642,37.315105,-121.910421
6,87,Santa Cruz, CA,262382,36.985171,-121.936728
6,89,Shasta, CA,177223,40.580269,-122.299961
6,91,Sierra, CA,3240,39.612588,-120.414236
6,93,Siskiyou, CA,44900,41.576203,-122.489833
6,95,Solano, CA,413344,38.235582,-122.069324
6,97,Sonoma, CA,483878,38.41408,-122.720522
6,99,Stanislaus, CA,514453,37.619147,-120.955577
6,101,Sutter, CA,94737,39.13549,-121.644269
6,103,Tehama, CA,63463,40.115187,-122.218704
6,105,Trinity, CA,13786,40.681268,-123.072357
6,107,Tulare, CA,442179,36.251227,-119.231547
6,109,Tuolumne, CA,55365,37.971531,-120.32853
6,111,Ventura, CA,823318,34.241989,-119.025018
6,113,Yolo, CA,200849,38.598913,-121.721112
6,115,Yuba, CA,72155,39.13883,-121.506626
8,1,Adams, CO,441603,39.874297,-104.927473
8,3,Alamosa, CO,15445,37.483069,-105.877245
8,5,Arapahoe, CO,572003,39.647528,-104.845968
8,7,Archuleta, CO,12084,37.240087,-107.085027
8,9,Baca, CO,3788,37.368221,-102.527089
8,11,Bent, CO,6499,38.072386,-103.1631
8,13,Boulder, CO,294567,40.063299,-105.183981
8,14,Broomfield, CO,55889,39.936888,-105.055491
8,15,Chaffee, CO,17809,38.676497,-106.082645
8,17,Cheyenne, CO,1836,38.816795,-102.45777
8,19,Clear Creek, CO,9088,39.712957,-105.52965
8,21,Conejos, CO,8256,37.195652,-105.989049
8,23,Costilla, CO,3524,37.281779,-105.448477
8,25,Crowley, CO,5823,38.188547,-103.857439
8,27,Custer, CO,4255,38.134216,-105.381557
8,29,Delta, CO,30952,38.798565,-107.910553
8,31,Denver, CO,600158,39.72143,-104.955068
8,33,Dolores, CO,2064,37.740817,-108.75741
8,35,Douglas, CO,285465,39.48527,-104.879712
8,37,Eagle, CO,52197,39.599453,-106.717771
8,39,Elbert, CO,23086,39.382868,-104.51913
8,41,El Paso, CO,622263,38.873669,-104.758477
8,43,Fremont, CO,46824,38.426058,-105.206532
8,45,Garfield, CO,56389,39.507561,-107.539356
8,47,Gilpin, CO,5441,39.85702,-105.48021
8,49,Grand, CO,14843,40.050388,-105.9754
8,51,Gunnison, CO,15324,38.657886,-106.944723
8,53,Hinsdale, CO,843,37.996875,-107.29653
8,55,Huerfano, CO,6711,37.616312,-104.884201
8,57,Jackson, CO,1394,40.692851,-106.291292
8,59,Jefferson, CO,534543,39.720524,-105.128819
8,61,Kiowa, CO,1398,38.470657,-102.680579
8,63,Kit Carson, CO,8270,39.309763,-102.435733
8,65,Lake, CO,7310,39.24587,-106.308061
8,67,La Plata, CO,51334,37.265198,-107.806184
8,69,Larimer, CO,299630,40.504546,-105.099218
8,71,Las Animas, CO,15507,37.196601,-104.503149
8,73,Lincoln, CO,5467,39.173232,-103.613697
8,75,Logan, CO,22709,40.639399,-103.187715
8,77,Mesa, CO,146723,39.092851,-108.543768
8,79,Mineral, CO,712,37.798623,-106.935586
8,81,Moffat, CO,13795,40.515239,-107.625859
8,83,Montezuma, CO,25535,37.370817,-108.557116
8,85,Montrose, CO,41276,38.479142,-107.934568
8,87,Morgan, CO,28159,40.256023,-103.781517
8,89,Otero, CO,18831,38.024096,-103.657432
8,91,Ouray, CO,4436,38.139834,-107.746232
8,93,Park, CO,16206,39.311718,-105.623144
8,95,Phillips, CO,4442,40.599517,-102.387354
8,97,Pitkin, CO,17148,39.232543,-106.907765
8,99,Prowers, CO,12551,38.083772,-102.547035
8,101,Pueblo, CO,159063,38.263685,-104.645147
8,103,Rio Blanco, CO,6666,40.051033,-108.280174
8,105,Rio Grande, CO,11982,37.616658,-106.238805
8,107,Routt, CO,23509,40.453133,-106.899535
8,109,Saguache, CO,6108,37.915302,-106.019489
8,111,San Juan, CO,699,37.804646,-107.673989
8,113,San Miguel, CO,7359,37.974202,-107.960034
8,115,Sedgwick, CO,2379,40.960246,-102.32767
8,117,Summit, CO,27994,39.573131,-106.054579
8,119,Teller, CO,23350,38.94355,-105.140532
8,121,Washington, CO,4814,40.092526,-103.156814
8,123,Weld, CO,252825,40.328082,-104.788507
8,125,Yuma, CO,10043,40.069473,-102.486935
9,1,Fairfield, CT,916829,41.207889,-73.364521
9,3,Hartford, CT,894014,41.761943,-72.717282
9,5,Litchfield, CT,189927,41.727851,-73.187494
9,7,Middlesex, CT,165676,41.478564,-72.571408
9,9,New Haven, CT,862477,41.396052,-72.941497
9,11,New London, CT,274055,41.443373,-72.097683
9,13,Tolland, CT,152691,41.842762,-72.37209
9,15,Windham, CT,118428,41.804225,-71.995072
10,1,Kent, DE,162310,39.12322,-75.558604
10,3,New Castle, DE,538479,39.68502,-75.634376
10,5,Sussex, DE,197145,38.662387,-75.346649
11,1,District of Columbia, DC,601723,38.91027,-77.014468
12,1,Alachua, FL,247336,29.665903,-82.386845
12,3,Baker, FL,27115,30.288432,-82.185477
12,5,Bay, FL,168852,30.206925,-85.660217
12,7,Bradford, FL,28520,29.953429,-82.128192
12,9,Brevard, FL,543376,28.232195,-80.690979
12,11,Broward, FL,1748066,26.134058,-80.227135
12,13,Calhoun, FL,14625,30.463143,-85.122189
12,15,Charlotte, FL,159978,26.954793,-82.119946
12,17,Citrus, FL,141236,28.863598,-82.453512
12,19,Clay, FL,190865,30.084386,-81.79941
12,21,Collier, FL,321520,26.199831,-81.699625
12,23,Columbia, FL,67531,30.126051,-82.660566
12,27,DeSoto, FL,34862,27.189369,-81.864094
12,29,Dixie, FL,16422,29.634179,-83.056329
12,31,Duval, FL,864263,30.300302,-81.622853
12,33,Escambia, FL,297619,30.485314,-87.274788
12,35,Flagler, FL,95696,29.523494,-81.224735
12,37,Franklin, FL,11549,29.786787,-84.822838
12,39,Gadsden, FL,46389,30.59828,-84.581397
12,41,Gilchrist, FL,16939,29.704639,-82.808262
12,43,Glades, FL,12884,26.896029,-81.185404
12,45,Gulf, FL,15863,29.988579,-85.259478
12,47,Hamilton, FL,14799,30.501534,-82.997218
12,49,Hardee, FL,27731,27.548312,-81.815432
12,51,Hendry, FL,39140,26.705392,-81.202571
12,53,Hernando, FL,172778,28.50485,-82.496961
12,55,Highlands, FL,98786,27.460415,-81.442555
12,57,Hillsborough, FL,1229226,27.976529,-82.401275
12,59,Holmes, FL,19927,30.847684,-85.758558
12,61,Indian River, FL,138028,27.671827,-80.440581
12,63,Jackson, FL,49746,30.80024,-85.216119
12,65,Jefferson, FL,14761,30.504031,-83.886291
12,67,Lafayette, FL,8870,30.065418,-83.179508
12,69,Lake, FL,297052,28.735689,-81.752026
12,71,Lee, FL,618754,26.574992,-81.858144
12,73,Leon, FL,275487,30.466103,-84.270371
12,75,Levy, FL,40801,29.379995,-82.666319
12,77,Liberty, FL,8365,30.399795,-84.905169
12,79,Madison, FL,19224,30.47263,-83.430563
12,81,Manatee, FL,322833,27.477054,-82.532775
12,83,Marion, FL,331298,29.140116,-82.123367
12,85,Martin, FL,146318,27.1443,-80.244395
12,86,Miami-Dade, FL,2496435,25.774565,-80.298888
12,87,Monroe, FL,73090,24.739678,-81.263945
12,89,Nassau, FL,73314,30.607962,-81.647153
12,91,Okaloosa, FL,180822,30.542829,-86.567105
12,93,Okeechobee, FL,39996,27.272057,-80.822153
12,95,Orange, FL,1145956,28.532855,-81.384377
12,97,Osceola, FL,268685,28.266765,-81.383484
12,99,Palm Beach, FL,1320134,26.617075,-80.146119
12,101,Pasco, FL,464697,28.261606,-82.51608
12,103,Pinellas, FL,916542,27.899794,-82.727651
12,105,Polk, FL,602095,28.03114,-81.799975
12,107,Putnam, FL,74364,29.609299,-81.720431
12,109,St. Johns, FL,190039,29.977088,-81.421504
