county state,absolute mobility
Bristol RI,44.5
Bristol RI,45
Bristol RI,44.5
Bristol RI,45
Dukes MA,43.4
Essex MA,44
Franklin MA,43.8
Hampden MA,40.4
Hampshire MA,45.4
Middlesex MA,47.5
Nantucket MA,
Norfolk MA,49.7
Plymouth MA,44.6
Suffolk MA,39.8
Worcester MA,43.9
Alcona MI,42.8
Alger MI,45.7
Allegan MI,43
Alpena MI,40
Antrim MI,40.5
Arenac MI,43.4
Baraga MI,43.4
Barry MI,42.1
Bay MI,41.2
Benzie MI,41.4
Berrien IN,38.5
Branch IN,41.9
Calhoun MI,36.9
Charlevoix MI,41.6
Cheboygan MI,41.1
Chippewa MI,41.3
Clare MI,41.6
Clinton MI,45.7
Crawford MI,39.6
Delta MI,45.2
Dickinson MI,44.4
Eaton MI,42
Emmet MI,43.4
Genesee MI,35.4
Gladwin MI,42.5
Gogebic MI,47.6
Grand Traverse MI,42.4
Gratiot MI,42.4
Hillsdale MI,41.2
Houghton MI,47.2
Huron MI,51.8
Ingham MI,37.5
Ionia MI,41.5
Iosco MI,41
Iron MI,45.4
Iron MI,45.4
Isabella MI,41.6
Jackson MI,39
Kalamazoo MI,37.5
Kalkaska MI,39.1
Kent MI,38.6
Keweenaw MI,
Lake MI,38.4
Lapeer MI,43.6
Leelanau MI,43.2
Lenawee MI,41.5
Livingston MI,42.4
Luce MI,
Mackinac MI,44
Macomb MI,42.9
Manistee MI,43.4
Marquette MI,45.4
Mason MI,41.4
Mecosta MI,39.2
Menominee MI,48.4
Midland MI,41.3
Missaukee MI,44.2
Monroe OH,42.7
Montcalm MI,41.4
Montmorency MI,46.5
Muskegon MI,36.9
Newaygo MI,41.2
Oakland MI,40.9
Oceana MI,43.4
Ogemaw MI,41.5
Ontonagon MI,44.9
Osceola MI,43
Oscoda MI,41.9
Otsego MI,44.9
Ottawa MI,45.3
Presque Isle MI,46.7
Roscommon MI,39.6
Saginaw MI,37.5
St Clair MI,40
Sanilac MI,46
Schoolcraft MI,43.5
Shiawassee MI,41.7
Tuscola MI,43.2
Van Buren MI,38.9
Washtenaw MI,38.9
Wayne MI,34.6
Wexford MI,42.2
Aitkin MN,48.1
Anoka MN,46.1
Becker MN,49.2
Beltrami MN,40.3
Benton MN,54.7
Big Stone MN,58.9
Blue Earth MN,49.4
Brown MN,56.8
Carlton MN,45.4
Carver MN,52.5
Cass MN,39.4
Chippewa MN,52.5
Chisago MN,48.4
Clay ND,48.1
Clearwater MN,47.4
Cook MN,
Cottonwood MN,54.5
Crow Wing MN,46
Dakota MN,46.9
Dodge MN,48.9
Douglas MN,52.9
Douglas MN,42.6
Douglas MN,52.9
Douglas MN,42.6
Faribault MN,50.4
Fillmore MN,55
Freeborn MN,49.2
Goodhue MN,51.6
Grant MN,56.9
Grant MN,52.4
Grant MN,56.9
Grant MN,52.4
Hennepin MN,41.2
Houston WI,53.9
Hubbard MN,46
Isanti MN,49.5
Itasca MN,48.7
Jackson MN,54.8
Kanabec MN,48.3
Kandiyohi MN,49.4
Kittson ND,56.6
Koochiching MN,49
Lac Qui Parle MN,56.4
Lake MN,46.8
Lake of The Woods MN,
Le Sueur MN,53.5
Lincoln MN,58.4
Lyon MN,53.9
McLeod MN,51.4
Mahnomen MN,44
Marshall MN,53.9
Martin MN,52.5
Meeker MN,52.1
Mille Lacs MN,46.7
Morrison MN,50.1
Mower MN,49.1
Murray MN,54.6
Nicollet MN,49.9
Nobles MN,53.1
Norman ND,51.3
Olmsted MN,47
Otter Tail MN,50.5
Pennington MN,52.2
Pine MN,46.5
Pipestone MN,57.4
Polk ND,51.5
Pope MN,56.2
Ramsey MN,41.9
Red Lake MN,61.3
Redwood MN,56.6
Renville MN,55.7
Rice MN,47.4
Rock MN,52.8
Roseau MN,54
St Louis MN,45.3
Scott MN,49.8
Sherburne MN,48
Sibley MN,55.5
Stearns MN,52.3
Steele MN,48.2
Stevens MN,58.6
Swift MN,54.1
Todd MN,52.9
Traverse MN,
Wabasha MN,53.2
Wadena MN,53.7
Waseca MN,50.9
Washington MN,48.1
Watonwan MN,49.7
Wilkin ND,53
Winona WI,50.9
Wright MN,47.8
Yellow Medicine MN,53.7
Adams MS,37.4
Alcorn MS,37
Amite MS,41.5
Attala MS,40.2
Benton MS,
Bolivar MS,34.2
Calhoun MS,39.3
Carroll MS,39.8
Chickasaw MS,36.5
Choctaw MS,42.9
Claiborne MS,33.4
Clarke MS,40.4
Clay MS,34.5
Coahoma MS,33
Copiah MS,36.3
Covington MS,39.4
De Soto TN,39.8
Forrest MS,37.8
Franklin MS,41.1
George MS,46.1
Greene MS,42.2
Grenada MS,34.7
Hancock MS,40.1
Harrison MS,38.1
Hinds MS,34.3
Holmes MS,35.6
Humphreys MS,32.3
Issaquena MS,
Itawamba MS,39.7
Jackson MS,38.5
Jasper MS,39.1
Jefferson MS,34.2
Jefferson Davis MS,37.9
Jones MS,39.8
Kemper MS,36.4
Lafayette MS,37.5
Lamar MS,43.2
Lauderdale MS,36.2
Lawrence MS,41.4
Leake MS,40.8
Lee MS,36
Leflore MS,33.7
Lincoln MS,39.9
Lowndes MS,35.3
Marion MS,41.8
Marshall TN,34.6
Marshall TN,40.4
Marshall TN,34.6
Marshall TN,40.4
Monroe MS,38.5
Montgomery MS,39.7
Neshoba MS,37.1
Newton MS,38.9
Noxubee MS,36.7
Oktibbeha MS,35.9
Panola MS,33.6
Pearl River MS,40.3
Perry MS,43.6
Pike MS,38
Pontotoc MS,40.8
Prentiss MS,37.9
Quitman MS,32.7
Rankin MS,41.1
Scott MS,36.6
Sharkey MS,35.8
Simpson MS,40
Smith MS,39.8
Stone MS,42.2
Sunflower MS,33.4
Tallahatchie MS,34
Tate TN,36.1
Tippah MS,40
Tishomingo MS,43.1
Tunica TN,31.8
Union MS,40.2
Walthall MS,39.1
Warren MS,36.1
Washington MS,33.2
Wayne MS,42.3
Webster MS,40
Wilkinson MS,39.2
Winston MS,36.2
Yalobusha MS,36.4
Yazoo MS,36.1
Adair MO,45.8
Andrew MO,46.2
Atchison MO,49.9
Audrain MO,43.9
Barry MO,43.3
Barton MO,44.9
Bates MO,45.6
Benton MO,44.5
Bollinger MO,43.2
Boone MO,39.9
Buchanan MO,39.7
Butler MO,39.6
Caldwell MO,47
Callaway MO,41.5
Camden MO,41.8
Cape Girardeau MO,41.4
Carroll MO,46.2
Carter MO,46
Cass MO,44.9
Cedar MO,42.3
Chariton MO,48.9
Christian MO,44.2
Clark MO,48
Clay MO,43.6
Clinton MO,45.2
Cole MO,43.9
Cooper MO,44.1
Dade MO,47.1
Dallas MO,42.6
Daviess MO,46.5
Dekalb MO,48
Dent MO,48.3
Douglas MO,42.7
Dunklin AR,40
Franklin MO,44.2
Gasconade MO,44.1
Gentry MO,49.7
Greene MO,41.1
Grundy MO,43.2
Harrison MO,47.1
Henry MO,42
Hickory MO,
Holt MO,49.1
Howard MO,45.7
Howell MO,43.4
Iron MO,41.6
Jackson MO,37.3
Jasper MO,42.2
Jefferson MO,42.8
Knox MO,
Laclede MO,41.9
Lafayette MO,44.2
Lawrence MO,43.7
Lewis IL,48.2
Lincoln MO,43.6
Livingston MO,46.6
Mcdonald AR,41.7
Macon MO,46.3
Madison MO,43.1
Maries MO,44.1
Mercer MO,
Miller MO,42.9
Mississippi MO,38
Moniteau MO,46.3
Montgomery MO,46.4
Morgan MO,42.4
New Madrid MO,38.7
Newton MO,44
Nodaway MO,51.5
Oregon MO,46.8
Osage MO,54.2
Ozark AR,43.6
Pemiscot AR,37.5
Perry MO,46.5
Pettis MO,43.2
Phelps MO,41.4
Platte MO,43.8
Polk MO,43.4
Pulaski MO,41.1
Putnam MO,
Ralls IL,48.1
Randolph MO,40
Ray MO,47
Reynolds MO,47.5
Ripley MO,39.7
St Charles MO,44.3
Ste Genevieve MO,45.2
St Francois MO,40.5
St Louis MO,39.1
Saline MO,43.1
Schuyler MO,
Scotland MO,
Scott MO,41.8
Shannon MO,42.7
Shelby MO,54.8
Stoddard MO,44.4
Stone MO,43.3
Sullivan MO,46.5
Taney MO,40.2
Texas MO,43.7
Vernon MO,43.6
Warren MO,41.8
Washington MO,41
Wayne MO,43.6
Webster MO,41.2
Worth MO,
Wright MO,43
St Louis City MO,32.2
Beaverhead MT,51.2
Big Horn WY,33.9
Big Horn WY,53.2
Big Horn WY,33.9
Big Horn WY,53.2
Blaine MT,39.9
Broadwater MT,
Carbon MT,49.9
Carter SD,
Cascade MT,45.8
Chouteau MT,51.8
Custer MT,50.8
Daniels MT,
Dawson MT,56.1
Deer Lodge MT,45.2
Fallon MT,
Fergus MT,50.3
Flathead MT,45.1
Gallatin MT,47
Garfield MT,
Glacier MT,34.4
Golden Valley MT,
Golden Valley MT,
Granite MT,
Hill MT,42.9
Jefferson MT,49.1
Judith Basin MT,
Lake MT,41.8
Lewis and Clark MT,44.7
Liberty MT,
Lincoln MT,47.7
McCone MT,
Madison MT,
Meagher MT,
Mineral MT,
Missoula MT,44
Musselshell MT,
Park MT,45.2
Petroleum MT,
Phillips MT,51.6
Pondera MT,50.4
Powder River MT,
Powell MT,45.8
Prairie MT,
Ravalli MT,47.7
Richland ND,58.9
Richland ND,56.2
Richland ND,58.9
Richland ND,56.2
Roosevelt MT,42.4
Rosebud MT,40.5
Sanders MT,48.3
Sheridan MT,
Silver Bow MT,47.5
Stillwater MT,52.6
Sweet Grass MT,
Teton MT,52.5
Toole MT,
Treasure MT,
Valley MT,50.7
Wheatland MT,
Wibaux MT,
Yellowstone MT,46.9
Adams NE,49.7
Antelope NE,53.4
Arthur NE,
Banner NE,
Blaine NE,
Boone NE,61.3
Box Butte NE,51.6
Boyd NE,
Brown NE,
Buffalo NE,51
Burt NE,50.8
Butler NE,55.1
Cass NE,49.5
Cedar SD,63.2
Chase NE,
Cherry NE,50.4
Cheyenne WY,50.8
Clay NE,55.9
Colfax NE,55.4
Cuming NE,56.9
Custer NE,54.6
Dakota IA,49.2
Dawes NE,53.8
Dawson NE,49.3
Deuel NE,
Dixon IA,52.9
Dodge NE,51
Douglas NE,40
Dundy KS,
Fillmore NE,56.8
Franklin NE,
Frontier NE,
Furnas NE,55.3
Gage NE,49
Garden NE,
Garfield NE,
Gosper NE,
Grant NE,
Greeley NE,
Hall NE,48.5
Hamilton NE,52.6
Harlan NE,
Hayes NE,
Hitchcock NE,
Holt NE,57.7
Hooker NE,
Howard NE,55.7
Jefferson NE,55
Johnson NE,
Kearney NE,52.2
Keith NE,51.9
Keya Paha NE,
Kimball WY,
Knox SD,58.9
Lancaster NE,42.4
Lincoln NE,47.5
Logan NE,
Loup NE,
McPherson NE,
Madison NE,50.8
Merrick NE,51.4
Morrill NE,56.1
Nance NE,
Nemaha NE,55.7
Nuckolls NE,
Otoe NE,49.9
Pawnee NE,
Perkins NE,
Phelps NE,50.8
Pierce NE,57.2
Platte NE,54.3
Polk NE,
Red Willow NE,51.7
Richardson NE,51.7
Rock NE,
Saline NE,55
Sarpy NE,45.2
Saunders NE,51.3
Scotts Bluff NE,47
Seward NE,52.9
Sheridan SD,52.6
Sherman NE,
Sioux NE,
Stanton NE,
Thayer NE,59.4
Thomas NE,
Thurston NE,35.6
Valley NE,
Washington NE,53.3
Webster NE,
Wheeler NE,
York NE,53.7
Churchill NV,43.9
Clark NV,39.9
Douglas CA,43
Elko NV,46.3
Esmeralda NV,
Eureka NV,
Humboldt NV,46.4
Lander NV,48.2
Lincoln NV,
Lyon NV,41.1
Mineral NV,
Nye NV,41.6
Pershing NV,
Storey NV,
Washoe NV,41.1
White Pine NV,48.1
Carson City NV,41.9
Belknap NH,44.7
Carroll NH,44.7
Cheshire NH,42.2
Coos VT,45.7
Grafton VT,43.7
Hillsborough NH,44.2
Merrimack NH,43.2
Rockingham NH,45
Strafford NH,43.1
Sullivan VT,41.8
Atlantic PA,38.9
Bergen NJ,52.4
Burlington PA,44
Camden PA,39.9
Cape May PA,42.7
Cumberland PA,39.1
Cumberland PA,46.3
Cumberland PA,39.1
Cumberland PA,46.3
Essex NJ,38.7
Gloucester PA,43.7
Hudson NJ,44.1
Hunterdon NJ,51.2
Mercer NJ,39.4
Middlesex NJ,47
Monmouth NJ,45.1
Morris NJ,49.5
Ocean NJ,45.6
Passaic NJ,42.3
Salem PA,42.3
Somerset NJ,46.7
Sussex NJ,47.8
Union NJ,43.8
Warren NJ,47.1
Bernalillo NM,39.6
Catron NM,
Chaves NM,41.2
Cibola NM,36.5
Colfax NM,44.7
Curry NM,43.1
De Baca NM,
Dona Ana TX,41.3
Eddy NM,47.9
Grant NM,41.3
Guadalupe NM,
Harding NM,
Hidalgo NM,42.2
Lea NM,48.6
Lincoln NM,44.2
Los Alamos NM,49.2
Luna NM,41.4
Mckinley AZ,32.1
Mora NM,
Otero NM,41.5
Quay NM,43.2
Rio Arriba NM,38.8
Roosevelt NM,42.4
Sandoval NM,38.1
San Miguel NM,40.1
Santa Fe NM,40.5
Sierra NM,40.8
Socorro NM,39.9
Taos NM,39.8
Torrance NM,41.6
Union NM,
Valencia NM,39
Albany NY,42.3
Allegany NY,43.9
Bronx NY,38.5
Broome NY,42.9
Cattaraugus NY,44.2
Cayuga NY,43.3
Chautauqua PA,42.6
Chemung NY,41
Chenango NY,43.3
Clinton NY,44.2
Columbia NY,42
Cortland NY,43.6
Delaware NY,45.5
Dutchess NY,43
Erie NY,42.6
Essex NY,45.9
Franklin NY,41.5
Fulton NY,42.9
Genesee NY,44.6
Greene NY,45.2
Hamilton NY,
Herkimer NY,45
Jefferson NY,43.2
Kings NY,41.8
Lewis NY,50.2
Livingston NY,45.6
Madison NY,44
Monroe NY,39.3
Montgomery NY,43.6
Nassau NY,49.7
New York NY,40.7
Niagara NY,41.5
Oneida NY,43.4
Onondaga NY,40.3
Ontario NY,43.9
Orange NY,42.3
Orleans NY,44.8
Oswego NY,42.9
Otsego NY,45.4
Putnam NY,51.5
Queens NY,46.8
Rensselaer NY,42.8
Richmond NY,46.5
Rockland NJ,44.5
St Lawrence NY,44.7
Saratoga NY,45.5
Schenectady NY,41.5
Schoharie NY,45.4
Schuyler NY,44.3
Seneca NY,45.4
Steuben NY,45.1
Suffolk NY,47.2
Sullivan NY,42.3
Tioga NY,41.6
Tioga NY,49.1
Tioga NY,41.6
Tioga NY,49.1
Tompkins NY,43.3
Ulster NY,42.6
Warren NY,43.2
Washington NY,43.5
Wayne NY,42
Westchester NY,45
Wyoming NY,47.5
Yates NY,45.6
Alamance NC,36.5
Alexander NC,37.7
Alleghany VA,41.6
Alleghany VA,41.6
Anson NC,33.6
Ashe NC,37.5
Avery NC,40.3
Beaufort NC,37.4
Bertie NC,37.4
Bladen NC,36.3
Brunswick NC,36.1
Buncombe NC,38.2
Burke NC,36.2
Cabarrus NC,35.7
Caldwell NC,34.7
Camden VA,37.5
Carteret NC,39.7
Caswell NC,36.7
Catawba NC,36
Chatham NC,38.7
Cherokee NC,39.8
Chowan VA,37.9
Clay NC,41.9
Cleveland NC,35.2
Columbus NC,35.5
Craven NC,36.9
Cumberland NC,35.9
Currituck VA,38.3
Dare NC,39.7
Davidson NC,36.2
Davie NC,40
Duplin NC,38.8
Durham NC,33.6
Edgecombe NC,33.1
Forsyth NC,35
Franklin NC,34.9
Gaston NC,34.7
Gates VA,37.7
Graham NC,43
Granville NC,37.4
Greene NC,35.8
Guilford NC,35.4
Halifax NC,34.9
Harnett NC,36.3
Haywood NC,40.2
Henderson NC,39.9
Hertford NC,35.2
Hoke NC,32.5
Hyde NC,
Iredell NC,35.2
Jackson NC,40.8
Johnston NC,38.1
Jones NC,38.8
Lee NC,36.8
Lenoir NC,36.5
Lincoln NC,37.6
McDowell NC,37.8
Macon NC,42.7
Madison NC,40
Martin NC,36.5
Mecklenburg NC,35
Mitchell NC,41.2
Montgomery NC,35.9
Moore NC,36.8
Nash NC,36.7
New Hanover NC,35.8
Northampton NC,36
Onslow NC,39
Orange NC,36.9
Pamlico NC,38.3
Pasquotank VA,36.2
Pender NC,36.3
Perquimans VA,39.4
Person NC,37.1
Pitt NC,35.2
Polk SC,38.2
Randolph NC,39.1
Richmond NC,34.4
Robeson NC,33
Rockingham NC,36.5
Rowan NC,35.1
Rutherford NC,36
Sampson NC,36.8
Scotland NC,32.9
Stanly NC,39.6
Stokes NC,38
Surry NC,40.1
Swain NC,39.5
Transylvania NC,39.5
Tyrrell NC,
Vance NC,32.7
Wake NC,38.4
Warren NC,36
Washington NC,36.6
Watauga NC,43
Wayne NC,37.6
Wilkes NC,38.7
Wilson NC,35.4
Yadkin NC,40.5
Yancey NC,39.6
Adams ND,
Barnes ND,58
Benson ND,41.4
Billings ND,
Bottineau ND,62.2
Bowman ND,
Burke ND,
Burleigh ND,52.3
Cass ND,49.9
Cavalier ND,
Dickey ND,
Divide ND,
Dunn ND,
Eddy ND,
Emmons ND,
Foster ND,
Grand Forks ND,49.3
Grant ND,
Griggs ND,
Hettinger ND,
Kidder ND,
Lamoure ND,
Logan ND,
McHenry ND,59.6
McIntosh ND,
Mckenzie ND,
Mclean ND,54.3
Mercer ND,59.8
Morton ND,55.9
Mountrail ND,50.7
Nelson ND,
Oliver ND,
Pembina ND,55.6
Pierce ND,
Ramsey ND,51.4
Ransom ND,58.9
Renville ND,
Rolette ND,37.6
Sargent ND,
Sheridan ND,
Sioux SD,
Slope ND,
Stark ND,63.6
Steele ND,
Stutsman ND,53.5
Towner ND,
Traill ND,55
Walsh ND,56.4
Ward ND,54.1
Wells ND,
Williams ND,61.6
Adams OH,40.5
Allen OH,39.3
Ashland OH,44.7
Ashtabula OH,40.6
Athens OH,39
Auglaize OH,47.3
Belmont WV,45.7
Brown OH,41.5
Butler OH,38.6
Carroll OH,43.6
Champaign OH,41
Clark OH,36.5
Clermont OH,40.7
Clinton OH,39
Columbiana OH,42.9
Coshocton OH,38.7
Crawford OH,40.6
Cuyahoga OH,36.4
Darke OH,46.6
Defiance OH,41.2
Delaware OH,40.9
Erie OH,40.3
Fairfield OH,41.2
Fayette OH,37.5
Franklin OH,36
Fulton OH,46.7
Gallia OH,39.1
Geauga OH,46.3
Greene OH,38.9
Guernsey OH,42.4
Hamilton OH,35.7
Hancock OH,43.1
Hancock OH,40.5
Hancock OH,43.1
Hancock OH,40.5
Hardin OH,43.3
Harrison OH,45.1
Henry OH,47.3
Highland OH,39
Hocking OH,40
Holmes OH,46.6
Huron OH,43.4
Jackson OH,39.1
Jefferson OH,40.8
Knox OH,44.3
Lake OH,43.4
Licking OH,39.9
Logan OH,41
Lorain OH,38.3
Lucas OH,35.9
Madison OH,39.4
Mahoning OH,40.3
Marion OH,39.2
Medina OH,44.8
Meigs OH,43.8
Mercer OH,51.5
Mercer OH,43.2
Mercer OH,51.5
Mercer OH,43.2
Miami OH,42.6
Monroe WV,49
Montgomery OH,35.8
Morgan OH,41.7
Morrow OH,40.7
Muskingum OH,40.2
Noble OH,49
Ottawa OH,44.6
Paulding OH,43.8
Perry OH,39.6
Pickaway OH,38
Pike OH,38.5
Portage OH,42.5
Preble OH,42.2
Putnam OH,51.1
Richland OH,39.4
Ross OH,37.2
Sandusky OH,42.5
Scioto OH,38.6
Seneca OH,44.3
Shelby OH,42.5
Stark OH,39.8
Summit OH,37.9
Trumbull OH,39.2
Tuscarawas OH,45.1
Union OH,42.4
Van Wert OH,42.6
Vinton OH,39.3
Warren OH,43.4
Washington WV,43.3
Wayne OH,43.3
Williams OH,45.9
Wood OH,43.4
Wyandot OH,48.9
Adair OK,39.6
Alfalfa OK,
Atoka OK,45
Beaver KS,54
Beckham OK,52.1
Blaine OK,49.1
Bryan TX,41.2
Caddo OK,43.9
Canadian OK,46.9
Carter OK,44.3
Cherokee OK,40.7
Choctaw OK,41.5
Cimarron OK,
Cleveland OK,44.7
Coal OK,
Comanche OK,41.8
Cotton OK,47.4
Craig OK,44.9
Creek OK,42.9
Custer OK,49.2
Delaware OK,41.8
Dewey OK,60.1
Ellis OK,
Garfield OK,46.4
Garvin OK,48.2
Grady OK,47.1
Grant OK,
Greer OK,
Harmon OK,
Harper OK,
Haskell AR,47.1
Hughes OK,45.6
Jackson OK,45
Jefferson OK,50.3
Johnston OK,46.9
Kay OK,44.2
Kingfisher OK,50.5
Kiowa OK,45.7
Latimer AR,45.6
Le Flore OK,45.8
Lincoln OK,45.8
Logan OK,43.7
Love OK,47.2
Mcclain OK,47.2
McCurtain OK,42
McIntosh OK,42.1
Major OK,56.2
Marshall OK,46.1
Mayes OK,43.1
Murray OK,46.4
Muskogee OK,41.3
Noble OK,45.2
Nowata KS,46.3
Okfuskee OK,42.9
Oklahoma OK,40.4
Okmulgee OK,41.8
Osage OK,41.2
Ottawa MO,42.3
Pawnee OK,47.5
Payne OK,46
Pittsburg AR,43
Pontotoc OK,45.1
Pottawatomie OK,41.6
Pushmataha OK,45.3
Roger Mills OK,
Rogers OK,44.7
Seminole OK,41.6
Sequoyah AR,42.7
Stephens OK,47.9
Texas OK,49
Tillman OK,45.6
Tulsa OK,40
Wagoner OK,44.5
Washita OK,51
Woods OK,52.7
Woodward OK,50.5
Baker OR,46.2
Benton OR,42.1
Clackamas OR,43.2
Clatsop OR,42.7
Columbia OR,42.4
Coos OR,41.2
Crook OR,43.6
Curry CA,40.8
Deschutes OR,42.2
Douglas OR,40.6
Gilliam OR,
Grant OR,49.7
Harney OR,44
Hood River OR,45.6
Jackson OR,41
Jefferson OR,35.6
Josephine OR,40.7
Klamath CA,41.4
Lake OR,47.9
Lane OR,39.7
Lincoln OR,40.7
Linn OR,39.5
Malheur OR,43.8
Marion OR,40.9
Morrow WA,44.3
Multnomah OR,39.1
Polk OR,41.5
Sherman OR,
Tillamook OR,41.9
Umatilla OR,42.8
Union OR,44.9
Wallowa OR,47.7
Wasco OR,43.2
Wheeler OR,
Yamhill OR,41.6
Adams PA,48.6
Allegheny PA,42.8
Armstrong PA,49.1
Beaver PA,44.7
Bedford PA,48
Berks PA,44.3
Blair PA,43.9
Bradford PA,49.1
Bucks PA,47.2
Butler PA,48.6
Cambria PA,48.7
Cameron PA,45.9
Carbon PA,48.1
Centre PA,47.3
Chester PA,46.1
Clarion PA,50.8
Clearfield PA,47
Clinton PA,47.5
Columbia PA,46.7
Crawford PA,45.1
Dauphin PA,40.1
Delaware PA,43.8
Elk PA,48.7
Erie PA,42.2
Fayette PA,44.7
Forest PA,
Franklin PA,46.2
Fulton PA,47.2
Greene PA,49.8
Huntingdon PA,46.9
Indiana PA,51.4
Jefferson PA,48.9
Jefferson PA,39.3
Jefferson PA,48.9
Jefferson PA,39.3
Juniata PA,49.5
Lackawanna PA,45.8
Lancaster PA,44.7
Lawrence OH,44.4
Lebanon PA,46.7
Lehigh PA,43.9
Luzerne PA,45.9
Lycoming PA,45.4
McKean NY,45.7
Mifflin PA,43.1
Monroe PA,44.3
Montgomery PA,47
Montour PA,43.9
Northampton PA,45
Northumberland PA,48.5
Perry PA,46.2
Philadelphia PA,37.1
Pike PA,44.8
Potter NY,50.8
Schuylkill PA,49.1
Snyder PA,47.3
Somerset PA,48.7
Sullivan PA,
Susquehanna NY,49
Union PA,48.8
Venango PA,44.9
Warren PA,44.4
Wayne PA,48.1
Westmoreland PA,47.2
Wyoming PA,47.5
York PA,44.2
Kent RI,44.7
Newport RI,41.3
Providence RI,42.3
Washington RI,44
Abbeville SC,36.9
Aiken GA,37.5
Allendale SC,32.5
Anderson SC,36.9
Bamberg SC,35
Barnwell SC,35
Beaufort GA,36.7
Berkeley SC,39
Calhoun SC,36
Charleston SC,36.7
Cherokee SC,34.5
Chester NC,34.9
Chesterfield SC,35.7
Clarendon SC,36.2
Colleton SC,36.2
Darlington SC,35.3
Dillon SC,34.6
Dorchester SC,39.3
Edgefield SC,34.9
Fairfield SC,32.7
Florence SC,36.2
Georgetown SC,35.8
Greenville SC,37
Greenwood SC,35
Hampton SC,36.3
Horry SC,36.7
Kershaw SC,37.9
Lancaster NC,35.4
Laurens SC,36
Lee SC,34.3
Lexington SC,39.3
McCormick SC,34
Marion SC,34.6
Marlboro SC,33.8
Newberry SC,37.3
Oconee SC,39.9
Orangeburg SC,35.3
Pickens SC,38.7
Richland SC,34.4
Saluda SC,36.5
Spartanburg SC,37
Sumter SC,36.4
Union SC,34.5
Williamsburg SC,36.5
York NC,36.9
Aurora SD,
Beadle SD,51.7
Bennett SD,
Bon Homme SD,56.3
Brookings SD,52.5
Brown SD,51.4
Brule SD,50
Buffalo SD,
Butte SD,51
Campbell SD,
Charles Mix SD,43.8
Clark SD,
Clay SD,49
Codington SD,51.1
Corson SD,
Custer SD,46.1
Davison SD,51.1
Day SD,54.4
Deuel SD,
Dewey SD,35.8
Douglas SD,
Edmunds SD,
Fall River SD,48.1
Faulk SD,
Gregory SD,54.2
Haakon SD,
Hamlin SD,59.9
Hand SD,
Hanson SD,
Harding SD,
Hughes SD,45
Hutchinson SD,60.2
Hyde SD,
Jackson SD,
Jerauld SD,
Jones SD,
Kingsbury SD,58.8
Lake SD,52.7
Lawrence SD,49.6
Lincoln SD,51.8
Lyman SD,
McCook SD,57.2
McPherson SD,
Marshall SD,
Meade SD,47.5
Mellette SD,
Miner SD,
Minnehaha SD,47.8
Moody SD,50.6
Pennington SD,43.3
Perkins ND,
Potter SD,
Roberts SD,43.1
Sanborn SD,
Shannon SD,23.7
Spink SD,57.9
Stanley SD,
Sully SD,
Todd SD,24.3
Tripp SD,50.7
Turner SD,55.6
Walworth SD,46.7
Yankton SD,52.7
Ziebach SD,
Anderson TN,39.2
Bedford TN,37.3
Benton TN,39.2
Bledsoe TN,42.8
Blount TN,38.3
Bradley TN,39.4
Campbell TN,38.3
Cannon TN,44.2
Carroll TN,40
Carter TN,37.9
Cheatham TN,39.4
Chester TN,43
Claiborne TN,39.8
Cocke TN,36.9
Coffee TN,40.2
Crockett TN,38.8
Cumberland TN,41.1
Davidson TN,35.5
Decatur TN,45
Dekalb TN,39.9
Dickson TN,40.5
Dyer TN,39
Fayette TN,34.5
Fentress TN,39.1
Franklin TN,39.4
Gibson TN,38.3
Giles TN,43
Grainger TN,39.7
Greene TN,38.5
Grundy TN,38.4
Hamblen TN,38.2
Hamilton TN,37
Hancock TN,
Hardeman TN,37
Hardin MS,39.3
Hawkins TN,37.7
Haywood TN,34.1
Henderson TN,40.1
Henry TN,39.2
Houston TN,43.2
Humphreys TN,39.1
Jackson TN,40.1
Jefferson TN,38.6
Johnson NC,36.2
Knox TN,37
Lake TN,
Lauderdale TN,36.2
Lewis TN,42.3
Lincoln AL,43.1
Loudon TN,39.3
McMinn TN,39.4
McNairy TN,39.4
Macon TN,43.2
Madison TN,35.8
Marion TN,40.5
Maury TN,37.2
Meigs TN,38.9
Monroe TN,38.9
Montgomery TN,39
Moore TN,
Morgan TN,39.3
Obion TN,36.9
Overton TN,42.1
Perry TN,37.5
Pickett TN,
Polk TN,39
Putnam TN,40.7
Rhea TN,40.4
Roane TN,37.7
Robertson TN,40.7
Rutherford TN,39.5
Sequatchie TN,40.3
Sevier TN,37
Shelby TN,33
Smith TN,42.5
Stewart TN,44
Sullivan TN,37.7
Sumner TN,41
Tipton TN,37
Trousdale TN,40.5
Unicoi TN,38.4
Union TN,38.9
Van Buren TN,
Warren TN,39.1
Washington TN,37
Washington VA,42.1
Washington TN,37
Washington TN,42.1
Wayne AL,45.3
Weakley TN,40.8
White TN,39.6
Williamson TN,42.4
Wilson TN,41.3
Anderson TX,42.4
Andrews TX,57.2
Angelina TX,42.2
Aransas TX,45.8
Archer TX,50
Armstrong TX,
Atascosa TX,46
Austin TX,46.1
Bailey TX,48.1
Bandera TX,47
Bastrop TX,41.7
Baylor TX,
Bee TX,44.4
Bell TX,39.6
Bexar TX,40.4
Blanco TX,48.3
Borden TX,
Bosque TX,44.8
Bowie TX,39.1
