Mean Parent Income,Mean Child Income
105700,56900
66600,43400
86900,46400
102800,66200
77300,52600
99500,48800
92100,49500
63000,52400
67800,41900
134200,59300
68100,41200
70600,49100
76100,48000
70900,42800
63300,45900
71900,46300
53900,40800
70800,52200
81600,49300
70500,49400
91100,49100
78600,42800
92400,69800
89800,45400
68800,40600
87000,48200
65800,49800
68400,45700
68500,47500
71400,53400
71500,41400
62900,46200
173600,64600
101200,54700
69100,46200
107900,56200
76100,45500
90100,44500
80000,48600
72700,46900
77500,55100
61600,44100
63800,46900
60300,41800
104900,52100
70300,52000
94500,49000
68900,46000
79900,47100
77800,45800
70000,43200
80400,44200
84500,40100
76500,50200
60100,45700
70900,42500
93100,47700
72000,48100
84600,44800
69100,48600
71800,46100
,
65700,42100
63500,37500
62700,44800
69100,52400
61000,51400
102900,54700
82900,55400
68100,51000
70700,43900
60500,45500
86200,56500
70600,46100
90400,46100
78000,36900
75900,45800
69400,53200
56500,42200
79300,45300
59500,51000
51000,39900
95000,52400
91600,52900
63700,43600
96400,49600
65800,45900
77100,46900
74000,47000
,
95200,54300
59300,42900
71800,40000
79500,52200
66600,46900
81300,50400
67100,51400
,
59600,57000
55800,45300
60500,62300
73000,54200
85800,53000
74700,54800
84600,63500
72100,58800
73500,66800
63600,61300
62400,59800
70800,67100
63400,54100
69600,59500
80500,55300
66100,61000
73400,64000
59500,51500
81300,59100
64700,61300
74400,53700
60200,60500
87900,56200
57400,50300
47900,44700
67600,63400
81600,48900
88700,56000
90800,63000
59700,55900
60800,58900
69100,59400
73700,53200
58900,57400
60800,53400
71800,63300
63500,55800
67300,52800
61100,58400
64500,68900
64900,53200
72400,55400
57700,60700
67800,66400
68200,57400
89000,56900
64200,55200
85300,52900
111200,52600
122100,58000
63400,56100
60000,54800
63100,64300
70600,49500
101100,54900
67000,51000
61100,51900
61200,63800
75900,55500
65400,51000
79700,62500
77200,53300
109500,52500
65500,60800
63100,52200
56600,48600
62200,52700
78500,48900
65200,61800
59600,58300
68800,54700
67000,61000
73500,63900
61000,62900
108700,55000
74200,49500
77900,57900
,
62200,61300
95300,53400
69700,70300
86700,64900
104400,64700
66900,53500
52900,48200
68800,55500
54600,49900
67800,47200
85300,57600
64500,50600
47400,49800
83200,51900
68200,56500
74300,66800
84900,55500
63200,53400
61600,54500
58600,46600
57700,47000
67800,48300
55600,58800
64500,53000
59800,47000
56700,54400
85700,50400
,
,
58200,44900
,
,
63300,53100
66600,57000
70300,54400
,
69200,46800
61900,45300
,
65300,47300
59100,51800
92100,51200
,
,
79200,58600
67300,55100
70300,48100
67800,48700
65400,47400
53600,37100
,
,
67700,53900
67300,54400
,
66100,48700
,
61900,52600
77400,50200
,
,
60600,52800
66900,50800
,
159400,66800
,
68000,52500
,
58700,48500
,
78200,47600
,
58400,46100
,
69400,49800
74300,54200
64800,51200
70700,62000
,
76200,51200
60800,61900
58700,44200
68700,58700
,
70300,68900
60000,48700
,
55700,48500
61400,47800
,
60900,55500
61900,51000
57300,59000
68700,56800
76100,53300
,
74100,47700
57900,52600
62200,46300
81300,51500
59100,52600
,
55900,54400
79500,47300
69300,54000
94600,47600
69300,46900
85900,47300
,
62300,49100
,
,
,
76500,66200
77000,48100
67200,57200
,
62900,54500
,
55000,55200
,
54000,43200
,
58200,35500
43400,34200
53400,37200
72900,42100
,
61700,44000
43100,33900
44900,34200
102000,50500
66100,41200
83100,42900
69800,42000
51800,37200
45300,25200
56600,45000
71100,44400
50700,39800
54800,45200
73000,43700
85000,49200
,
49800,38800
48200,39600
41100,34000
58600,38100
66600,39500
43400,32500
38300,34100
60600,46900
,
74900,47700
43500,37900
,
41100,33300
101100,45100
47900,39600
54700,39700
72700,42200
54000,34300
,
54200,38300
60400,39300
61400,44500
49000,40600
46000,44700
64200,42900
64900,48200
65700,43100
46000,38200
63100,40300
42900,34400
71600,43400
57600,40600
,
65100,51900
36900,36100
92200,43000
79400,41700
53700,44700
96600,48000
49700,37100
38700,32300
57100,43300
63800,40200
48200,40300
,
45600,38900
50600,45100
39600,35400
47200,35600
63200,39300
58700,42700
,
91400,47900
37200,30700
56500,48000
64900,40600
41500,37000
51500,44500
75300,49400
44200,42300
72600,40000
59300,45000
,
61000,41500
40300,34000
57000,38000
61600,37000
42500,34000
55800,45800
73100,48000
45300,37100
48400,41600
123600,53500
51700,39000
,
60700,41700
56100,38800
57600,43400
44400,37600
56600,37900
