Mean Parent Income,Mean Child Income
78100,41900
82600,46200
60100,37800
52400,39500
59100,40400
42100,32700
,
59700,38100
72600,40100
47700,39500
61500,41500
53000,37500
173700,59100
82400,45700
58300,44300
59600,62600
65400,43300
58700,49300
58700,55600
,
50300,48600
76200,56100
55000,44700
64500,46700
61600,42400
,
49300,42400
62500,41500
69000,40800
62100,47200
,
58600,46100
65500,41700
81800,53100
79800,48100
52600,47600
,
34100,42300
57700,44100
57700,45600
62500,41900
50800,38400
64700,47000
51000,48200
41900,37400
57900,41900
67600,66200
53300,48800
44900,44200
72300,51200
52200,45300
45200,39200
57900,50100
,
,
44000,44000
157900,63200
,
62400,51200
82500,49300
52700,45800
,
63100,51800
56700,42900
,
,
,
45200,40600
,
61500,46200
98600,45000
48100,44700
46800,40700
,
113400,54800
60300,56000
,
36000,46400
,
43800,60200
48300,45600
60400,54000
,
73000,46400
52300,40000
65100,47800
47400,35900
55600,42700
83500,57100
,
46500,42400
,
116800,58000
56300,47600
58500,53800
39800,38500
51900,55900
80400,48400
,
65100,48500
,
57100,54300
46100,42200
71000,54200
68500,44300
73500,49000
48400,39200
66100,42800
50100,42400
,
50100,52000
62800,64200
,
71500,51000
93000,50900
56100,43600
,
50200,46200
79400,43500
,
54200,46200
41600,37500
52100,44900
58400,51700
85400,51800
57000,44500
50500,41500
61500,51100
,
60200,41500
73300,57500
,
49300,63000
68000,52800
52800,47300
,
73800,46700
,
56500,50300
69100,51300
47200,43600
59600,50100
63500,43400
98600,53600
,
,
62600,45900
,
,
,
55000,45000
,
57500,40100
49900,47600
58900,43300
36300,45800
66200,60400
60400,52700
54800,51200
60700,47300
54000,47100
,
60800,48400
50200,43200
,
68900,43100
45800,41200
48600,44300
66600,42500
,
51600,41500
38200,37200
,
,
63000,47800
31800,37700
54400,45400
,
92400,62700
52300,45400
,
51000,51000
51800,54600
105300,54600
59300,49900
48800,41700
,
63000,43800
55200,47100
45000,39100
48900,43700
64300,43400
63800,58900
,
68700,51700
54300,44900
58900,52300
80900,51600
49000,46800
51700,52900
47600,40700
58900,38000
33400,47600
53200,45300
99200,55500
,
,
45900,39800
43700,49100
59500,49100
,
49700,39700
121700,54500
54500,47400
59300,47700
45100,45400
36400,38100
45900,39600
55900,46200
,
,
62600,57800
,
48400,49000
,
76900,45700
76500,51600
28600,38300
54200,43400
,
,
,
45900,39500
96600,49100
65300,46500
,
56800,43400
,
61900,44400
64900,46300
123900,47600
44500,36900
49500,43700
51200,44700
,
47800,44100
43800,43000
59700,44400
72900,49000
61500,43300
55800,43000
58100,55400
74200,45100
51000,39600
60700,49700
,
73800,46200
80000,43300
33900,36800
99500,52100
60400,52900
54700,55700
66600,53200
54700,46900
63700,63500
54400,53500
44600,46100
26200,35300
62300,53000
78000,50400
88500,52200
76500,53800
,
110100,54300
56800,63500
76300,56800
58600,49700
55900,47600
64100,45800
63900,52900
137600,45800
66800,50200
93100,55800
,
,
102300,51300
60200,42100
64600,49700
69200,50500
142600,62800
76100,48700
67400,62400
113200,51900
98000,53300
82400,46500
,
87400,48300
77100,46000
75900,46800
61900,41500
106400,53200
48300,45800
63400,46400
,
69900,46500
60900,47200
58900,44500
72100,50100
75900,48400
70800,44000
84300,52400
44300,34200
117400,52500
,
58200,39000
61900,45600
55100,39300
134200,62300
70100,45600
,
84300,51000
62400,44200
82300,50000
45200,32900
53800,48400
52900,35100
59800,40900
61800,37800
50100,39500
,
46900,37900
107600,55400
99500,49900
,
73500,44800
,
47200,48000
71000,42800
58800,41300
164700,74000
111300,53300
55900,43600
67100,43200
60200,41500
82400,49500
57800,39400
68500,44100
126900,50400
50000,39600
59300,39000
,
54200,38300
97500,56600
120800,55800
52300,36600
,
71400,43700
111600,53100
,
85400,52200
72400,44200
61300,41200
48800,38800
145100,65100
62100,40100
48000,35600
69900,44400
62000,47300
51100,38500
58900,43000
80800,48200
59800,41200
79500,47900
45700,33200
52500,35000
52400,37800
71400,41700
51800,40900
50500,43700
52400,39800
83900,45200
53700,33700
71200,46500
101100,58200
63600,39800
82900,46600
56200,43500
101100,55800
58800,51200
78700,45900
50100,50900
60800,43400
63100,46100
57100,44200
57300,38400
89000,52200
103200,57000
52100,39000
49100,36100
67100,46600
71300,47600
65800,42900
49900,38200
57400,44100
59300,42300
105900,60900
125600,53200
59800,41400
64700,40000
51400,41800
94400,41000
77900,48400
,
80900,50400
62100,46700
64900,38200
44500,33300
142100,69500
162600,62000
74600,38600
76300,39900
60500,41600
59200,38000
90000,51800
61100,40000
80600,52500
81600,43700
96400,58000
112400,59900
65900,38900
60500,38100
52800,32100
,
52100,31100
105100,64300
48900,32100
86600,45200
49400,26200
71100,37200
82300,49400
69200,44300
68000,38700
85500,47300
70800,46000
,
87300,51700
60100,49600
67900,43800
93000,52700
77300,47900
68800,42700
93900,47700
,
75800,45100
71800,46600
49500,38100
71300,46300
,
64900,44900
63300,42900
75600,47300
83400,43600
140400,55000
89200,48300
78100,51400
59100,42900
67600,45100
62800,50000
65700,41300
58200,41000
56900,42700
52100,45200
84800,46400
195100,39600
78400,47000
61000,42300
93700,50300
82000,46800
57400,42500
81600,46200
,
70400,46600
84800,50100
77600,58100
64000,43000
46400,46000
64800,41000
60500,48100
53500,51900
65700,46600
74700,43700
47600,51300
46000,41200
,
53300,44300
,
52800,42100
56400,43600
49600,38700
70700,47300
52000,43900
66500,47400
58700,45400
73100,43900
80500,45400
53200,47300
47300,46100
55700,46100
42400,38600
65300,49700
63900,52300
60700,42300
62500,41800
54500,45000
53000,48200
86500,53100
50800,42200
55500,41200
56300,48200
90400,50900
51000,49300
64000,50900
41500,39000
52900,49200
90900,50300
67900,70800
55100,42600
45900,41600
47500,43200
45800,37700
48200,46200
,
64100,52000
52600,45200
52900,41600
56100,46200
61500,47700
48100,45200
72200,46900
55300,49700
50600,37400
60400,49000
76900,52600
64400,40900
104100,55600
64600,55200
56400,43800
85100,62000
70900,50400
66300,53800
79900,50900
62100,51500
118900,55900
80800,54500
78900,52900
67700,47500
73100,53700
90100,53700
,
86100,56400
54800,48600
65100,54700
85300,54500
76500,55200
65500,53000
,
60100,44900
83000,52400
66200,46200
85400,46900
75000,54500
90900,55400
62300,59600
65600,45700
72700,51900
84600,55200
89300,56800
69300,53900
63000,45700
,
79400,42300
69900,47500
69900,49500
82100,51500
101900,58000
173600,65900
70600,65700
86600,60200
73900,51000
84800,54600
65000,53300
95600,51600
72700,45200
85400,48100
60800,51300
101800,58000
83600,51700
58700,41300
68700,49500
94100,54800
69700,52500
66500,51900
65400,49900
63000,45500
87700,50300
59000,44400
104500,61000
137200,64300
79200,50500
60000,46600
97700,54300
90500,56400
92500,49100
55800,51400
90400,65400
66400,52700
68700,65600
68400,68500
60500,50600
54900,49200
,
63300,61700
79300,48400
68600,54800
83300,56600
,
71800,57200
62200,55100
93500,55500
,
88700,61800
461800,64200
77500,59800
75800,52700
67600,60000
