State,Commuting Zone ID,School Expenditure per Student,Teacher Student Ratio,Test Score Percentile,High School Dropout Rate
AK,34115,8.849,18.2,-3.754,0.051
MT,34201,6.557,15.3,-4.699,0.018
MT,34202,6.803,14.6,-7.629,0.014
MT,34203,5.102,16.7,12.992,-0.021
MT,34204,5.873,16.4,16.404,-0.01
WY,34301,7.041,16.3,14.809,-0.001
WY,34302,6.149,15.8,7.028,
WY,34303,8.755,14.6,-2.51,0.035
WY,34304,6.88,15.5,1.819,0.017
MT,34305,5.025,15.9,10.444,-0.006
MT,34306,6.802,11.9,,
MT,34307,7.773,13.4,-3.745,0.01
MT,34308,5.226,17.9,6.772,-0.001
MT,34309,6.585,13.4,,
MT,34401,5.431,18.6,11.176,-0.003
MT,34402,6.05,16.8,13.863,-0.005
MT,34403,5.237,17.3,8.937,0.001
MT,34404,5.335,18,6.263,0.017
ID,34501,4.668,19.5,4.734,0.031
MT,34502,5.077,17.1,5.058,-0.01
MT,34503,4.985,17.9,5.978,0.008
MT,34504,5.145,17.4,8.573,0.004
WY,34601,7.142,14.5,5.883,0.009
WY,34602,7.182,13.7,-5.208,0.016
WY,34603,6.458,17,-0.214,0.059
WY,34604,7.655,12.5,,
HI,34701,6.563,18.4,-14.799,0.018
HI,34702,6.563,18,,
HI,34703,6.563,18.3,,
NM,34801,5.37,17.1,-13.802,-0.029
NM,34802,5.527,17.4,-16.69,0.012
NM,34803,6.57,15.7,-11.254,0.039
NM,34804,6.4,13.5,,
CO,34805,5.952,15.9,-4.938,
NM,34901,5.091,17.4,-13.662,0.033
NM,34902,5.411,16.3,-15.373,-0.025
AZ,35001,5.546,20.3,-10.107,
AZ,35002,4.606,21.8,-7.113,
AZ,35100,5.806,19.5,-10.137,
CO,35201,5.357,18.4,1.926,
CO,35202,7.487,14.4,5.732,
NM,35300,5.098,17.3,-8.531,0.005
AZ,35401,5.514,18.9,-4.78,
CO,35402,6.648,16.7,-7.301,-0.013
AZ,35500,6.187,17.6,-19.598,0.025
HI,35600,6.563,18.2,,
ID,35701,5.491,18.6,1.241,0.011
ID,35702,4.1,19.6,-4.158,0.003
ID,35801,5.057,19.5,-0.77,0.035
OR,35802,5.991,18,-0.764,-0.004
ID,35803,7.824,16.5,10.852,0
UT,35901,4.922,22,0.549,-0.011
UT,35902,4.631,21,4.096,-0.015
UT,35903,6.369,18.2,1.621,-0.034
UT,35904,4.918,21.1,10.733,-0.011
UT,35905,8.2,15.1,,
UT,36000,4.742,22.2,-1.256,-0.018
UT,36100,4.322,22.3,-8.394,0.009
UT,36200,4.231,21,6.228,-0.003
ID,36301,4.484,19.7,3.003,-0.003
ID,36302,4.926,17.7,8.031,0.014
WY,36303,5.876,17.6,-31.837,
CO,36401,5.607,17.6,8.282,
UT,36402,4.564,20.6,-3.364,0.004
ID,36403,4.584,18.2,5.784,-0.02
WY,36404,7.307,16.1,1.942,0.021
CA,36501,6.149,20.1,-8.53,-0.008
OR,36502,7.314,16,3.847,-0.019
OR,36503,6.849,17.5,8.2,-0.039
CA,36600,5.688,22.4,-9.694,
CA,36700,6.499,20.5,-7.355,
OR,36800,5.787,21,3.153,0.023
CA,36901,5.377,20.4,-9.264,0.002
OR,36902,5.806,19.4,-4.257,0.004
CA,37000,5.838,23.5,-18.956,
CA,37100,5.756,23.6,-21.294,
CA,37200,5.555,23.2,-18.836,
CA,37300,5.606,22.7,-14.579,
CA,37400,5.495,23.3,-11.615,-0.02
CA,37500,5.952,24,-20.475,
NV,37601,6.64,17.9,-9.153,-0.002
NV,37602,6.121,17.5,-7.491,-0.011
CA,37603,5.694,22,-2.797,
NV,37604,6.015,19.6,-10.295,0
CA,37700,7.597,21.3,-14.668,
CA,37800,5.917,22.9,-17.251,
NV,37901,5.344,21.1,-16.716,
NV,37902,6.244,16.8,,
CA,37903,7.223,21,-14.086,
CA,38000,5.406,23.5,-10.538,
CA,38100,5.565,22.8,-19.096,
CA,38200,5.718,22.3,-10.878,
CA,38300,5.532,24.8,-17.336,
ID,38401,5.639,17.9,4.83,0.017
WA,38402,7.079,17.2,13.049,
WA,38501,7.336,20.5,-8.035,
WA,38502,6.269,20.6,-1.827,
WA,38601,5.843,20.9,6.227,0.022
WA,38602,6.828,20.2,-1.219,
WA,38700,6.257,20.2,-1.591,-0.006
OR,38801,6.704,21.4,-2.673,0.022
OR,38802,6.744,18.6,-1.692,-0.001
OR,38901,6.184,21.1,-3.381,0.015
OR,38902,6.472,19.4,-4.794,0.022
WA,39000,7.026,20.9,-10.483,
WA,39100,6.699,19.6,-4.494,0.007
OR,39201,6.108,18.4,4.022,-0.015
OR,39202,6.28,15.6,13.774,-0.038
OR,39203,6.638,20.9,-1.345,0.003
OR,39204,9.289,11.8,,
OR,39205,7.887,15.1,12.204,-0.039
WA,39301,6.766,18.3,-3.884,
WA,39302,5.912,21.1,5.12,
WA,39303,6.609,19.5,3.012,
WA,39400,6.604,21,-0.108,
