County ID,Commuting Zone ID,Teenage Birth Rate,Mean Parent Income,Mean Child Income,Number of Children in Core Sample
6003,37400,,,,
6005,37400,0.105,76400,45900,1128
6007,37300,0.108,69600,43000,6612
6009,37400,0.092,66400,43700,1435
6011,37300,0.192,57600,46200,830
6013,37800,0.084,141600,57800,30339
6015,36901,0.158,58000,38000,1021
6017,37400,0.083,99400,49800,6259
6019,37200,0.192,64600,41400,28520
6021,37300,0.142,57100,41700,1043
6023,36700,0.108,66800,40400,4534
6025,38100,0.194,50600,40600,6048
6027,37903,0.122,71900,48700,737
6029,37100,0.194,68400,47500,25037
6031,37200,0.209,58100,41200,4366
6033,37700,0.143,57900,40600,1892
6035,36501,0.151,68100,46200,1176
6037,38300,0.14,84000,46300,261921
6039,37200,0.193,60000,39600,4370
6041,37800,0.029,246100,65800,6004
6043,37000,0.096,62300,65100,566
6045,37700,0.13,64900,41100,3240
6047,37000,0.18,56100,44900,7885
6049,36501,0.086,56200,47000,366
6051,37903,0.083,72100,49000,311
6053,37500,0.158,78100,44600,11876
6055,37800,0.08,113700,55000,3573
6057,37400,0.082,78700,48300,3364
6059,38300,0.094,112300,53900,71640
6061,37400,0.073,113500,53400,9258
6063,37603,0.094,71300,49200,769
6065,38300,0.155,71500,42100,51067
6067,37400,0.125,81500,45700,38328
6069,37500,0.144,81100,46300,1895
6071,38300,0.16,69500,43900,62634
6073,38000,0.111,92400,49000,82229
6075,37800,0.075,137200,64200,13269
6077,37400,0.151,74900,45600,19509
6079,38200,0.093,84700,48000,7712
6081,37800,0.071,181100,63500,19266
6083,38200,0.121,97500,48200,11308
6085,37500,0.09,173300,60300,47549
6087,37500,0.111,102400,48800,7957
6089,36600,0.134,68200,44300,6570
6091,37603,,,,
6093,36501,0.126,54900,44100,1853
6095,37800,0.119,84700,50500,15005
6097,37700,0.079,105100,50400,14776
6099,37000,0.139,72500,43400,16739
6101,37300,0.132,61600,45700,2986
6103,36600,0.186,50300,39800,1881
6105,36700,0.126,49300,41200,532
6107,37200,0.208,55300,40800,14409
6109,37000,0.107,66700,46800,1850
6111,38300,0.107,104700,52200,25317
